DLiP-ID,C000AP
DLiP-Mol-ID,30543
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H22NO2P/c11-7-4-8-14(12,13)9-10-5-2-1-3-6-10/h10H,1-9,11H2,(H,12,13)"
Standard Inchi Key(RDKit),XOESDNIUAWGCLU-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCCCP(=O)(O)CC1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),219.265
MW Monoisotopic(RDKit),219.138815574
MolLogP(RDKit),2.1859
XLogP(SDF),
XLogP(CDK),1.64
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),63.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.696500051420413
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1303.1559729097214
qed,0.6965000514204126
Chi0,10.441311299868556
Chi1,6.638958433764684
TPSA,63.32000000000001
Chi0n,8.82133705052196
Chi0v,9.715764241521876
Chi1n,5.648022879724183
Chi1v,7.678082315461646
Chi2n,4.398743411591538
Chi2v,6.903701494890671
Chi3n,2.979867467521393
Chi3v,5.081864369317139
Chi4n,2.202805332490953
Chi4v,4.234136664715897
MolMR,59.80570000000004
MolWt,219.2649999999999
fr_SH,0
Kappa1,12.220671378091874
Kappa2,5.892845434055052
Kappa3,4.585352776449697
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,202.29867917997393
MolLogP,2.1859
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.287335847756625
SMR_VSA1,9.458459887683805
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,11.651573523323577
SMR_VSA5,38.524929737556064
SMR_VSA6,18.868576460848416
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.52829351129915
NHOHCount,3
PEOE_VSA1,10.62707907991466
PEOE_VSA2,4.565048284931329
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.26246486877803
PEOE_VSA7,31.725127320851996
PEOE_VSA8,12.323820054935842
PEOE_VSA9,0.0
RingCount,1
SMR_VSA10,7.368827530443599
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
