DLiP-ID,C001XZ
DLiP-Mol-ID,26982
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N5O4S3/c1-3-16-22-23-19(30-16)24-31(26,27)15-10-6-13(7-11-15)20-18(29)21-17(25)12-4-8-14(28-2)9-5-12/h4-11H,3H2,1-2H3,(H,23,24)(H2,20,21,25,29)"
Standard Inchi Key(RDKit),GDKIKTIMMCUZCQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1nnc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(OC)cc3)cc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),477.593
MW Monoisotopic(RDKit),477.059917088
MolLogP(RDKit),3.0367
XLogP(SDF),
XLogP(CDK),3.816
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),122.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.444006041810671
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8974069.870749954
qed,0.44400604181067066
Chi0,22.43251065250176
Chi1,14.801193478087168
TPSA,122.31000000000002
Chi0n,16.578074158950514
Chi0v,19.027563901733693
Chi1n,9.021058817792333
Chi1v,11.728966936778317
Chi2n,6.121132656826772
Chi2v,9.273854985428935
Chi3n,3.9927286887599593
Chi3v,6.663918242885344
Chi4n,2.4090354483577694
Chi4v,4.529149761064041
MolMR,123.2184
MolWt,477.59300000000013
fr_SH,0
Kappa1,22.59198577678874
Kappa2,9.811411586938371
Kappa3,5.964659133283211
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1176.0121336095183
MolLogP,3.0367000000000015
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5960575190675834
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,15.514152220608405
SMR_VSA4,0.0
SMR_VSA5,18.24004229813441
SMR_VSA6,17.148681009735952
SMR_VSA7,59.10201173624264
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,188.46262492431205
NHOHCount,3
PEOE_VSA1,10.05365155780638
PEOE_VSA2,14.83342065253024
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,18.26052307762536
PEOE_VSA7,67.16963161366559
PEOE_VSA8,11.250837766380558
PEOE_VSA9,12.005281016795308
RingCount,3
SMR_VSA10,55.41651184298817
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,477.05991708799996
NumHDonors,3
PEOE_VSA10,10.75713553013667
PEOE_VSA11,5.112436884724758
PEOE_VSA12,5.131558479839333
PEOE_VSA13,15.930470882759089
PEOE_VSA14,0.0
SlogP_VSA1,20.092535026264798
SlogP_VSA2,36.744574756284806
SlogP_VSA3,16.444112776333593
SlogP_VSA4,0.0
SlogP_VSA5,22.289349572312204
SlogP_VSA6,53.42642002321065
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,21.046658569433372
EState_VSA3,23.42117122259047
