DLiP-ID,C001NN
DLiP-Mol-ID,32647
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H24N2OS.ClH/c1-4-18(23)15-10-11-20-17(14-15)22(13-7-12-21(2)3)16-8-5-6-9-19(16)24-20;/h5-6,8-11,14H,4,7,12-13H2,1-3H3;1H"
Standard Inchi Key(RDKit),ZFWVWZODBGTOIL-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),376.953
MW Monoisotopic(RDKit),376.1376121
MolLogP(RDKit),5.2555
XLogP(SDF),
XLogP(CDK),4.943
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),23.55
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.641719548820937
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,315421.92545360664
qed,0.6417195488209373
Chi0,17.10408352775558
Chi1,11.596555450524585
TPSA,23.550000000000004
Chi0n,14.989051071465079
Chi0v,16.62204423332053
Chi1n,8.462513066911377
Chi1v,9.279009647839104
Chi2n,6.33748765393746
Chi2v,7.421264610424287
Chi3n,4.2558380455298765
Chi3v,5.386106424363805
Chi4n,2.992830058754543
Chi4v,4.06893688011728
MolMR,109.05350000000004
MolWt,376.9529999999999
fr_SH,0
Kappa1,19.829738935356577
Kappa2,8.7451325646017
Kappa3,4.377378865033014
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,748.226054263681
