DLiP-ID,C001BN
DLiP-Mol-ID,32130
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H32O4/c1-14(24)27-13-21(26)20-7-6-18-17-5-4-15-12-16(25)8-10-22(15,2)19(17)9-11-23(18,20)3/h12,17-20H,4-11,13H2,1-3H3/t17-,18-,19-,20+,22-,23-/m0/s1"
Standard Inchi Key(RDKit),VPGRYOFKCNULNK-ACXQXYJUSA-N
Canonical SMILES(RDKit),CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
SMILES(SDF),
MW(SDF),
MW(RDKit),372.505
MW Monoisotopic(RDKit),372.230059504
MolLogP(RDKit),4.2667
XLogP(SDF),
XLogP(CDK),4.529
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),60.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.694387313793929
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1338474.8362554973
qed,0.6943873137939288
Chi0,19.39697674656903
Chi1,12.753691300962933
TPSA,60.440000000000005
Chi0n,16.883705538482513
Chi0v,16.883705538482513
Chi1n,10.654649304579905
Chi1v,10.654649304579905
Chi2n,9.88987112014673
Chi2v,9.88987112014673
Chi3n,8.768375860390332
Chi3v,8.768375860390332
Chi4n,7.361606287838621
Chi4v,7.361606287838621
MolMR,101.84000000000006
MolWt,372.5050000000002
fr_SH,0
Kappa1,18.89216248876675
Kappa2,6.562307195504152
Kappa3,2.905354941261555
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,707.1669090421246
MolLogP,4.266700000000004
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5550748620254948
SMR_VSA1,19.120474506015512
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,34.501605123439134
SMR_VSA5,72.13778458247995
SMR_VSA6,6.606881964512918
SMR_VSA7,11.64912463690315
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.65316142789197
NHOHCount,0
PEOE_VSA1,4.736862953800049
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.420578929450514
PEOE_VSA7,79.60547054459369
