DLiP-ID,T002CM
DLiP-Mol-ID,18535
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H36N4O2/c25-19(21-15-8-3-1-4-9-15)23-17-12-7-13-18(14-17)24-20(26)22-16-10-5-2-6-11-16/h15-18H,1-14H2,(H2,21,23,25)(H2,22,24,26)"
Standard Inchi Key(RDKit),HWRAOPDAPKUDKH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NC1CCCCC1)NC1CCCC(NC(=O)NC2CCCCC2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),364.534
MW Monoisotopic(RDKit),364.283826392
MolLogP(RDKit),3.5614
XLogP(SDF),
XLogP(CDK),3.442
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),82.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.615021141003221
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,947792.885532494
qed,0.6150211410032209
Chi0,18.192023676495612
Chi1,12.68667318580106
TPSA,82.26
Chi0n,16.025392594297898
Chi0v,16.025392594297898
Chi1n,10.828935152554019
Chi1v,10.828935152554019
Chi2n,8.465919062005502
Chi2v,8.465919062005502
Chi3n,6.225424716214521
Chi3v,6.225424716214521
Chi4n,4.770752175635029
