DLiP-ID,T000UH
DLiP-Mol-ID,16570
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H23ClN2O4/c26-20-9-7-19(8-10-20)25(32-17-24(16-29)11-12-24)22-6-2-1-5-21(22)23(30)28(25)15-18-4-3-13-27(31)14-18/h1-10,13-14,29H,11-12,15-17H2"
Standard Inchi Key(RDKit),CKPAAHHDVWNALZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc[n+]([O-])c1
SMILES(SDF),
MW(SDF),
MW(RDKit),450.922
MW Monoisotopic(RDKit),450.134634896
MolLogP(RDKit),3.6196
XLogP(SDF),
XLogP(CDK),4.516
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),76.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.440323470817461
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,36023584.64753674
qed,0.44032347081746165
Chi0,22.34672421487486
Chi1,15.471929431072592
TPSA,76.71000000000001
Chi0n,17.408087267108943
Chi0v,18.164016213127397
Chi1n,10.575048117484508
Chi1v,10.953012590493735
Chi2n,8.606673538703433
Chi2v,9.043109319175416
Chi3n,6.440124670474047
Chi3v,6.692100985813532
Chi4n,4.367647705987802
Chi4v,4.493635863657545
MolMR,118.65430000000002
MolWt,450.9220000000001
fr_SH,0
Kappa1,20.944088638618233
Kappa2,7.886552676962081
Kappa3,3.445816160132158
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1162.6133184225127
MolLogP,3.619600000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6654368731274296
SMR_VSA1,19.3683351746188
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.41499046939678
SMR_VSA5,25.111385245734848
SMR_VSA6,13.213763929025836
SMR_VSA7,105.54105013314886
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
