DLiP-ID,T002UB
DLiP-Mol-ID,19286
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H21NO3/c1-12(2)13-5-3-4-6-14(13)19-11-15(17)16-7-9-18-10-8-16/h3-6,12H,7-11H2,1-2H3"
Standard Inchi Key(RDKit),JJFUBSKQYPNMPA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)c1ccccc1OCC(=O)N1CCOCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),263.337
MW Monoisotopic(RDKit),263.152143532
MolLogP(RDKit),2.0476
XLogP(SDF),
XLogP(CDK),2.045
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.834227871047686
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,24211.53504643275
qed,0.8342278710476856
Chi0,13.664925939000156
Chi1,9.181540550352056
TPSA,38.769999999999996
Chi0n,11.594243718772416
Chi0v,11.594243718772416
Chi1n,6.754615356788922
Chi1v,6.754615356788922
Chi2n,4.974360895325682
Chi2v,4.974360895325682
Chi3n,3.2559568738957934
Chi3v,3.2559568738957934
Chi4n,2.132475647384993
Chi4v,2.132475647384993
MolMR,73.42500000000004
MolWt,263.33699999999993
fr_SH,0
Kappa1,13.871853541028633
Kappa2,6.568483947457563
Kappa3,3.7044778513862933
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,425.15379273854893
MolLogP,2.0475999999999996
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9260816531205582
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,19.76538044554264
SMR_VSA6,32.910158705363905
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
