DLiP-ID,T001DX
DLiP-Mol-ID,17030
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H10O2/c12-11-8-4-7-10(13-11)9-5-2-1-3-6-9/h1-6,8,10H,7H2/t10-/m1/s1"
Standard Inchi Key(RDKit),DXDFWARJUVHCOL-SNVBAGLBSA-N
Canonical SMILES(RDKit),O=C1C=CC[C@H](c2ccccc2)O1
SMILES(SDF),
MW(SDF),
MW(RDKit),174.199
MW Monoisotopic(RDKit),174.06807956
MolLogP(RDKit),2.2308
XLogP(SDF),
XLogP(CDK),2.279
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),26.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.610092171631204
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CRM1/Rev
Common Target Pref Name,CRM1/Rev
RDKit Descriptors
Ipc,1420.6550069818122
qed,0.6100921716312038
Chi0,9.096011838247808
Chi1,6.360173345306138
TPSA,26.3
Chi0n,7.142405515631282
Chi0v,7.142405515631282
Chi1n,4.281814336833024
Chi1v,4.281814336833024
Chi2n,2.9742834560036218
Chi2v,2.9742834560036218
Chi3n,2.03386315014034
Chi3v,2.03386315014034
Chi4n,1.3872830094500885
Chi4v,1.3872830094500885
MolMR,49.032000000000025
MolWt,174.199
fr_SH,0
Kappa1,8.047715036869382
Kappa2,3.4358371171301996
Kappa3,1.7758354626628798
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,327.2033324368505
MolLogP,2.2308000000000003
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1912424124086183
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,12.524788010674312
SMR_VSA6,0.0
SMR_VSA7,48.04732704767281
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,76.83574683531717
NHOHCount,0
