DLiP-ID,C001XL
DLiP-Mol-ID,26852
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H13N3OS/c1-8-2-4-9(5-3-8)7-17-12-14-10(13)6-11(16)15-12/h2-6H,7H2,1H3,(H3,13,14,15,16)"
Standard Inchi Key(RDKit),OQQZKAPKMXBJSE-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(CSc2nc(N)cc(O)n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),247.323
MW Monoisotopic(RDKit),247.077933036
MolLogP(RDKit),2.36512
XLogP(SDF),
XLogP(CDK),2.675
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),72.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.643219247234505
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,7380.186432070068
qed,0.6432192472345046
Chi0,12.25071237662706
Chi1,8.131030293135234
TPSA,72.03
Chi0n,9.421097473288041
Chi0v,10.237594054215768
Chi1n,5.151779268000271
Chi1v,6.1373778276537605
Chi2n,3.7078566912917332
Chi2v,4.650355332151468
Chi3n,2.2004560959158206
Chi3v,3.118900072128776
Chi4n,1.3269897455638535
Chi4v,2.1432441037623606
MolMR,68.84920000000001
MolWt,247.32300000000004
fr_SH,0
Kappa1,11.72715976331361
Kappa2,5.053433909859866
Kappa3,3.354009410842074
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,493.40923267958476
MolLogP,2.36512
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.041060512886804
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,17.833027288258123
SMR_VSA6,5.733667477162185
SMR_VSA7,41.45873832570204
SMR_VSA8,0.0
SMR_VSA9,5.879988336435371
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,103.91491199082121
NHOHCount,3
PEOE_VSA1,10.84019487200289
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,41.59080471493455
PEOE_VSA7,12.487188691387619
PEOE_VSA8,11.819220675208399
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,17.57974772722614
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,247.077933036
NumHDonors,2
PEOE_VSA10,5.817862777835028
PEOE_VSA11,5.156436481820707
PEOE_VSA12,5.879988336435371
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
