DLiP-ID,C101QT
DLiP-Mol-ID,37213
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H28N4O2/c1-18-7-5-8-19(2)26(18)31-27(33)24(15-21-17-29-23-11-4-3-10-22(21)23)30-25(32)13-12-20-9-6-14-28-16-20/h3-11,14,16-17,24,29H,12-13,15H2,1-2H3,(H,30,32)(H,31,33)"
Standard Inchi Key(RDKit),VLYHRDOVHBMOEL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc(C)c1NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCc1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),440.547
MW Monoisotopic(RDKit),440.221226136
MolLogP(RDKit),4.47854
XLogP(SDF),
XLogP(CDK),3.425
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),86.88
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.377570966118792
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumor necrosis factor ligand superfamily member 11/11A
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,38732652.09454935
qed,0.37757096611879243
Chi0,23.208531534440656
Chi1,16.00804039084698
TPSA,86.88000000000001
Chi0n,18.890584019452465
Chi0v,18.890584019452465
Chi1n,11.113639211483333
Chi1v,11.113639211483333
Chi2n,8.301054382263517
Chi2v,8.301054382263517
Chi3n,5.843519681670915
Chi3v,5.843519681670915
Chi4n,4.022003203434042
Chi4v,4.022003203434042
MolMR,131.0371
MolWt,440.5470000000002
fr_SH,0
Kappa1,22.270601000559175
Kappa2,10.126137215048317
Kappa3,5.467521925033551
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1243.362683395705
MolLogP,4.478540000000003
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5275531618396203
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
