DLiP-ID,C000RA
DLiP-Mol-ID,31254
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16ClN3O/c18-12-5-6-15-13(11-12)17(21-9-7-19-8-10-21)20-14-3-1-2-4-16(14)22-15/h1-6,11,19H,7-10H2"
Standard Inchi Key(RDKit),QWGDMFLQWFTERH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
SMILES(SDF),
MW(SDF),
MW(RDKit),313.788
MW Monoisotopic(RDKit),313.098189812
MolLogP(RDKit),3.4292
XLogP(SDF),
XLogP(CDK),3.515
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),36.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.809349876635352
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,209135.17801885656
qed,0.8093498766353519
Chi0,14.940946820939052
Chi1,10.809663088089318
TPSA,36.86
Chi0n,12.05051896354658
Chi0v,12.806447909565035
Chi1n,7.422997374340849
Chi1v,7.8009618473500755
Chi2n,5.382726484697242
Chi2v,5.8191622651692265
Chi3n,3.9105674387483513
Chi3v,4.14566454153609
Chi4n,2.8122574839958574
Chi4v,2.984360507948725
MolMR,88.60770000000004
MolWt,313.788
fr_SH,0
Kappa1,13.611106605640474
Kappa2,5.629587732114244
Kappa3,2.4456707425611706
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,738.4339512236613
MolLogP,3.4292000000000025
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8840897775171102
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,4.992404732635669
SMR_VSA5,0.0
SMR_VSA6,26.1790256236503
SMR_VSA7,53.05065428466959
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.92337538654567
NHOHCount,1
PEOE_VSA1,14.953561288656857
PEOE_VSA2,0.0
PEOE_VSA3,4.992404732635669
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,30.33183534230805
PEOE_VSA8,31.201658937391628
PEOE_VSA9,5.563451491696996
RingCount,4
SMR_VSA10,23.123945950673345
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,313.09818981199993
NumHDonors,1
PEOE_VSA10,17.272517893724736
PEOE_VSA11,5.749511833283905
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,36.91455514025805
SlogP_VSA3,0.0
SlogP_VSA4,0.0
