DLiP-ID,T004CA
DLiP-Mol-ID,17468
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10N2O4/c18-13-12(9-11-7-4-8-21-11)14(19)17(15(20)16-13)10-5-2-1-3-6-10/h1-9H,(H,16,18,20)/b12-9-"
Standard Inchi Key(RDKit),NRTWAQJCJBUTAG-XFXZXTDPSA-N
Canonical SMILES(RDKit),O=C1NC(=O)N(c2ccccc2)C(=O)/C1=C\c1ccco1
SMILES(SDF),
MW(SDF),
MW(RDKit),282.255
MW Monoisotopic(RDKit),282.0640568
MolLogP(RDKit),1.946
XLogP(SDF),
XLogP(CDK),1.1
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),79.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.674050519135891
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,98779.53067042079
qed,0.6740505191358914
Chi0,14.819626477379408
Chi1,10.16470379794645
TPSA,79.62
Chi0n,10.776359180062045
Chi0v,10.776359180062045
Chi1n,6.166394907547244
Chi1v,6.166394907547244
Chi2n,4.30882090864731
Chi2v,4.30882090864731
Chi3n,2.9458501564715704
Chi3v,2.9458501564715704
Chi4n,1.9846675068090531
Chi4v,1.9846675068090531
MolMR,74.15170000000002
MolWt,282.255
fr_SH,0
Kappa1,12.862251838410245
Kappa2,5.085888132304486
Kappa3,2.3398938774482105
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,732.2988148431623
MolLogP,1.9460000000000002
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.0174205071083877
SMR_VSA1,18.800762489268813
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,4.899909730850478
SMR_VSA7,60.06108442381404
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,2
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,119.20636512985011
NHOHCount,1
PEOE_VSA1,4.417150937053347
PEOE_VSA2,14.905862972149976
PEOE_VSA3,9.694446914922299
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,30.34148838068032
PEOE_VSA8,0.0
PEOE_VSA9,11.950549270322618
RingCount,3
SMR_VSA10,29.608880352558526
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,282.0640568
NumHDonors,1
PEOE_VSA10,11.33335194894371
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.216698334856808
SlogP_VSA2,17.845473971041084
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,5.760247418874442
