DLiP-ID,C004WB
DLiP-Mol-ID,35849
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18N4O4S2/c1-2-28-13-7-9-14(10-8-13)30(26,27)24-17-11-18(29-20-21-12-22-23-20)19(25)16-6-4-3-5-15(16)17/h3-12,24-25H,2H2,1H3,(H,21,22,23)"
Standard Inchi Key(RDKit),NVOQWFABHCSZFK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(S(=O)(=O)Nc2cc(Sc3nc[nH]n3)c(O)c3ccccc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),442.522
MW Monoisotopic(RDKit),442.076947056
MolLogP(RDKit),4.0142
XLogP(SDF),
XLogP(CDK),4.345
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),117.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.370166258517116
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,8790327.498554379
qed,0.3701662585171162
Chi0,21.13961743368831
Chi1,14.47549497539168
TPSA,117.20000000000002
Chi0n,15.863491711901998
Chi0v,17.496484873757453
Chi1n,9.017104934041411
Chi1v,11.316764762563535
Chi2n,6.210108126675284
Chi2v,8.901609290614289
Chi3n,4.264701711062361
Chi3v,6.556495652626393
Chi4n,2.926589643944714
Chi4v,4.781087326645372
MolMR,114.53800000000001
MolWt,442.5220000000001
fr_SH,0
Kappa1,20.04988900450919
Kappa2,8.24693388233643
Kappa3,4.048367584029555
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1274.4178001840387
MolLogP,4.014200000000002
NOCount,8
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.744064080723771
SMR_VSA1,18.26118733296969
