DLiP-ID,C000TE
DLiP-Mol-ID,31336
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11N5S2/c1-7-10(19-11(13)15-7)8-6-18-12(16-8)17-9-4-2-3-5-14-9/h2-6H,1H3,(H2,13,15)(H,14,16,17)"
Standard Inchi Key(RDKit),HCQIWJDOEHFBDB-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nc(N)sc1-c1csc(Nc2ccccn2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),289.389
MW Monoisotopic(RDKit),289.045587352
MolLogP(RDKit),3.29582
XLogP(SDF),
XLogP(CDK),1.476
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),76.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.773341917359596
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,39685.15842197172
qed,0.7733419173595959
Chi0,13.242276208189782
Chi1,9.220346690612276
TPSA,76.72
Chi0n,10.122238982565356
Chi0v,11.755232144420809
Chi1n,5.590332978372806
Chi1v,7.286482370555426
Chi2n,3.844514016607648
Chi2v,5.7332657503920315
Chi3n,2.449854607854054
Chi3v,4.216674597188201
Chi4n,1.6366358532804097
Chi4v,3.2137982322698107
