DLiP-ID,C000MG
DLiP-Mol-ID,31049
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H13NO3S2/c1-3-17-9-5-4-8(6-10(9)16-2)7-11-12(15)14-13(18)19-11/h4-7H,3H2,1-2H3,(H,14,15,18)/b11-7-"
Standard Inchi Key(RDKit),QIXJUMOJAZGOCD-XFFZJAGNSA-N
Canonical SMILES(RDKit),CCOc1ccc(/C=C2\SC(=S)NC2=O)cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),295.385
MW Monoisotopic(RDKit),295.033685276
MolLogP(RDKit),2.5827
XLogP(SDF),
XLogP(CDK),1.707
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),47.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.68318564419139
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,23248.923928722365
qed,0.6831856441913904
Chi0,13.828062645816686
Chi1,9.134560252985372
TPSA,47.56
Chi0n,10.557749310264366
Chi0v,12.190742472119819
Chi1n,5.694159218539024
Chi1v,6.918904089930614
Chi2n,3.6955413217988506
Chi2v,5.41440682978876
Chi3n,2.4273236512876326
Chi3v,3.590002941429645
Chi4n,1.6211179268759566
Chi4v,2.6653547948061074
MolMR,80.47170000000003
MolWt,295.38500000000005
fr_SH,0
Kappa1,13.891409452809675
Kappa2,6.0759800139012015
Kappa3,3.2708910928559383
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,554.8193530089394
MolLogP,2.5827
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.286874476438191
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
