DLiP-ID,I001E4
DLiP-Mol-ID,29826
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22FN3O3/c1-14-12-26(13-15(2)27(14)22(29)16-7-4-3-5-8-16)23(30)21(28)17-11-25-19-10-6-9-18(24)20(17)19/h3-11,14-15,25H,12-13H2,1-2H3/t14-,15+"
Standard Inchi Key(RDKit),XSALDNVGZSFDHK-GASCZTMLSA-N
Canonical SMILES(RDKit),C[C@H]1CN(C(=O)C(=O)c2c[nH]c3cccc(F)c23)C[C@@H](C)N1C(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.445
MW Monoisotopic(RDKit),407.164519784
MolLogP(RDKit),3.2513
XLogP(SDF),
XLogP(CDK),3.913
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.535093549060043
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,7828994.034897355
qed,0.5350935490600431
Chi0,21.41348460451408
Chi1,14.379917853109722
TPSA,73.48
Chi0n,16.762203058859715
Chi0v,16.762203058859715
Chi1n,9.850669506104223
Chi1v,9.850669506104223
Chi2n,7.680496891124928
Chi2v,7.680496891124928
Chi3n,5.5552412087763505
Chi3v,5.5552412087763505
Chi4n,4.196872195920662
Chi4v,4.196872195920662
MolMR,110.70270000000002
MolWt,407.44500000000016
fr_SH,0
Kappa1,19.819931698503975
Kappa2,7.741253518614042
Kappa3,3.361817408904313
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1113.1835726233785
MolLogP,3.2513000000000023
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5368077916521448
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,25.93115605767717
SMR_VSA6,13.08951281182515
SMR_VSA7,71.67190394374585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
