DLiP-ID,C002WH
DLiP-Mol-ID,33263
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13N3O2S/c1-8-5-3-4-6-10(8)18-14(20)12-9(2)11-13(19)16-7-17-15(11)21-12/h3-7H,1-2H3,(H,18,20)(H,16,17,19)"
Standard Inchi Key(RDKit),CMPOCJSCHUNRAE-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=O)c1sc2ncnc(O)c2c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),299.355
MW Monoisotopic(RDKit),299.072847656
MolLogP(RDKit),3.26604
XLogP(SDF),
XLogP(CDK),1.918
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),75.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.76127312089291
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,80653.07464006204
qed,0.7612731208929102
Chi0,14.982763184195939
Chi1,10.075387400469412
TPSA,75.11
Chi0n,11.54488871337573
Chi0v,12.361385294303457
Chi1n,6.37694087762968
Chi1v,7.1934374585574075
Chi2n,4.702660018103493
Chi2v,5.701730784866274
Chi3n,3.306307297873951
Chi3v,4.504895633007449
Chi4n,2.1618488155956634
Chi4v,3.200369256157721
MolMR,82.94900000000001
MolWt,299.3550000000001
fr_SH,0
Kappa1,13.510186765284027
Kappa2,5.138945532517618
Kappa3,2.3374055027283545
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,842.0510544759709
MolLogP,3.266040000000002
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.010139770285381
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,5.316788604006331
SMR_VSA7,46.596838525706275
SMR_VSA8,0.0
SMR_VSA9,5.879988336435371
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,124.85026546863834
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,18.19910120538483
PEOE_VSA7,31.040744451236847
PEOE_VSA8,5.687386274683562
PEOE_VSA9,10.263371408166094
RingCount,3
SMR_VSA10,33.14797251605516
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,299.072847656
NumHDonors,2
PEOE_VSA10,11.157716494385108
PEOE_VSA11,0.0
PEOE_VSA12,5.879988336435371
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,20.98166416608663
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,20.79858736116711
SlogP_VSA6,30.59278834861098
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
fr_amidine,0
