DLiP-ID,C001WQ
DLiP-Mol-ID,26670
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18O6/c1-21-12-7-5-11(6-8-12)13-10-25-19-16(17(13)20)14(22-2)9-15(23-3)18(19)24-4/h5-10H,1-4H3"
Standard Inchi Key(RDKit),KCISFICQVCMQEX-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2coc3c(OC)c(OC)cc(OC)c3c2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),342.347
MW Monoisotopic(RDKit),342.110338296
MolLogP(RDKit),3.4944
XLogP(SDF),
XLogP(CDK),3.941
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),67.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.706933550925406
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,549276.6173280382
qed,0.7069335509254062
Chi0,17.974327015758657
Chi1,12.13809021283551
TPSA,67.13
Chi0n,14.413591357920934
Chi0v,14.413591357920934
Chi1n,7.530832902472915
Chi1v,7.530832902472915
Chi2n,5.225462914123847
Chi2v,5.225462914123847
Chi3n,3.976959805695299
Chi3v,3.976959805695299
Chi4n,2.703212854795945
Chi4v,2.703212854795945
MolMR,94.12800000000004
MolWt,342.3470000000001
fr_SH,0
Kappa1,16.698858826786914
Kappa2,6.764279068522815
Kappa3,2.7556956263384946
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,956.2956405282714
MolLogP,3.4944000000000024
NOCount,6
fr_Ar_N,0
fr_COO2,0
