DLiP-ID,T001TC
DLiP-Mol-ID,17698
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20Cl2N4O5/c1-3-28(2)18-17(19(29)20(18)30)27-15(22(32)33)8-11-4-6-12(7-5-11)26-21(31)16-13(23)9-25-10-14(16)24/h4-7,9-10,15,27H,3,8H2,1-2H3,(H,26,31)(H,32,33)/t15-/m0/s1"
Standard Inchi Key(RDKit),GGRFOSOSNAVBNN-HNNXBMFYSA-N
Canonical SMILES(RDKit),CCN(C)c1c(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c(=O)c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),491.331
MW Monoisotopic(RDKit),490.0810751
MolLogP(RDKit),2.8006
XLogP(SDF),
XLogP(CDK),1.007
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),128.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.390125151568721
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,13960240.730993513
qed,0.39012515156872074
Chi0,24.283728092517162
Chi1,15.63313671073378
TPSA,128.7
Chi0n,17.68622834107426
Chi0v,19.198086233111166
Chi1n,9.866489996116885
Chi1v,10.62241894213534
Chi2n,7.264509459158566
Chi2v,8.078909712639778
Chi3n,5.090007836915336
Chi3v,5.663152324514269
