DLiP-ID,C001FK
DLiP-Mol-ID,32299
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H10N2OS/c9-7(11)6-4-2-1-3-5(4)12-8(6)10/h1-3,10H2,(H2,9,11)"
Standard Inchi Key(RDKit),CIYGFKXNRTYHLB-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)c1c(N)sc2c1CCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),182.248
MW Monoisotopic(RDKit),182.05138394
MolLogP(RDKit),0.9179
XLogP(SDF),
XLogP(CDK),-0.292
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),69.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.677631075820332
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,791.7080397648228
qed,0.6776310758203317
Chi0,8.71517847069432
Chi1,5.698377302757662
TPSA,69.11
Chi0n,6.5925174628666205
Chi0v,7.409014043794347
Chi1n,3.896829486071968
Chi1v,4.713326066999694
Chi2n,2.960846729234783
Chi2v,4.097596559920906
Chi3n,2.1949360273011735
Chi3v,3.315896800405505
Chi4n,1.6956968729118906
Chi4v,2.8607333207409744
MolMR,49.274300000000004
MolWt,182.24799999999996
fr_SH,0
Kappa1,7.6104203212012225
Kappa2,2.484184743074853
Kappa3,0.9138438661435777
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,343.0722139127018
MolLogP,0.9179000000000002
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.5893641461833097
