DLiP-ID,I001EY
DLiP-Mol-ID,29860
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H14N4O4S/c22-8-14-19(11-1-4-13(26)5-2-11)15(9-23)21(25-20(14)24)30-10-18(29)12-3-6-16(27)17(28)7-12/h1-7,26-28H,10H2,(H2,24,25)"
Standard Inchi Key(RDKit),YBZQMVDFRWVFTH-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1c(N)nc(SCC(=O)c2ccc(O)c(O)c2)c(C#N)c1-c1ccc(O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),418.434
MW Monoisotopic(RDKit),418.073575928
MolLogP(RDKit),3.16596
XLogP(SDF),
XLogP(CDK),2.937
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),164.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.27652427272809
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,4612120.458208397
qed,0.2765242727280902
Chi0,21.836134335324456
Chi1,14.349774308148643
TPSA,164.25
Chi0n,15.325687088631032
Chi0v,16.142183669558758
Chi1n,8.46380061125512
Chi1v,9.44939917090861
Chi2n,6.1130221902103985
Chi2v,7.077070790467011
Chi3n,4.208960708372603
Chi3v,5.1843352234856175
Chi4n,2.7334436112619507
Chi4v,3.622864215698853
MolMR,110.00629999999997
MolWt,418.43400000000014
fr_SH,0
Kappa1,20.522360021396267
Kappa2,8.432532044102498
Kappa3,3.969815924959424
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1227.7244916211462
MolLogP,3.165960000000001
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9997062261340386
SMR_VSA1,20.11411936859394
SMR_VSA2,10.523783109476973
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,5.025959978669241
SMR_VSA6,11.486521083908974
SMR_VSA7,59.15492395432226
SMR_VSA8,0.0
SMR_VSA9,40.513881108830255
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,3
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,175.01739141210518
NHOHCount,5
PEOE_VSA1,21.0532496616843
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,10.523783109476973
PEOE_VSA5,0.0
PEOE_VSA6,23.894619086314336
PEOE_VSA7,35.89528683400505
PEOE_VSA8,11.126902983393991
