DLiP-ID,T006K7
DLiP-Mol-ID,24145
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15BrN2O/c18-15-7-3-1-6-14(15)17(21)19-10-9-12-11-20-16-8-4-2-5-13(12)16/h1-8,11,20H,9-10H2,(H,19,21)"
Standard Inchi Key(RDKit),VCTPRAAYKABSJU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCCc1c[nH]c2ccccc12)c1ccccc1Br
SMILES(SDF),
MW(SDF),
MW(RDKit),343.224
MW Monoisotopic(RDKit),342.0367752
MolLogP(RDKit),3.9029
XLogP(SDF),
XLogP(CDK),4.201
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),44.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.741410462456367
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,106615.42069925972
qed,0.7414104624563673
Chi0,14.656489770562878
Chi1,10.254020195423491
TPSA,44.89
Chi0n,11.39657874855282
Chi0v,12.982575287667524
Chi1n,6.83226397049197
Chi1v,7.625262240049322
Chi2n,4.845244442987673
Chi2v,5.699581342162194
Chi3n,3.473297240939829
Chi3v,4.164798447046207
Chi4n,2.389729966568867
Chi4v,2.854568763626942
MolMR,88.47790000000003
MolWt,343.22400000000005
fr_SH,0
Kappa1,13.892254679614824
Kappa2,6.140409550258326
Kappa3,3.0022235942993176
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,779.0659731349102
MolLogP,3.9029000000000025
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6387937703181095
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,6.544756405912575
SMR_VSA7,70.32740261853236
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.0530805107935
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,46.11331821795718
PEOE_VSA8,28.11724442543912
PEOE_VSA9,5.563451491696996
RingCount,3
SMR_VSA10,32.74004855938191
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,342.0367752
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,17.43591465621129
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,59.20049963513837
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,12.10820789760957
EState_VSA4,16.410241856374686
EState_VSA5,10.949675706161791
EState_VSA6,0.0
EState_VSA7,42.595045982382736
EState_VSA8,38.36344515982611
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,15.929943897949348
