DLiP-ID,C000JV
DLiP-Mol-ID,30930
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H8N2O3/c11-5-7(10(12)15)3-6-1-2-8(13)9(14)4-6/h1-4,13-14H,(H2,12,15)/b7-3+"
Standard Inchi Key(RDKit),USOXQZNJFMKTKJ-XVNBXDOJSA-N
Canonical SMILES(RDKit),N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O
SMILES(SDF),
MW(SDF),
MW(RDKit),204.185
MW Monoisotopic(RDKit),204.053492116
MolLogP(RDKit),0.49008
XLogP(SDF),
XLogP(CDK),0.171
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),107.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.369812794801766
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1934.6237321017475
qed,0.3698127948017662
Chi0,11.422285251880869
Chi1,7.040912557858759
TPSA,107.34
Chi0n,7.636640422911867
Chi0v,7.636640422911867
Chi1n,3.979003813978893
Chi1v,3.979003813978893
Chi2n,2.7822185936010326
Chi2v,2.7822185936010326
Chi3n,1.696384680832866
Chi3v,1.696384680832866
Chi4n,0.9554096167630037
Chi4v,0.9554096167630037
