DLiP-ID,J1009P
DLiP-Mol-ID,37051
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20BrN3O2S/c1-4-23(5-2)15-8-6-14(7-9-15)21-19(24)17-12(3)25-22-18(17)16-10-13(20)11-26-16/h6-11H,4-5H2,1-3H3,(H,21,24)"
Standard Inchi Key(RDKit),UDCOFLWGQKQWKH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)c2c(-c3cc(Br)cs3)noc2C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),434.359
MW Monoisotopic(RDKit),433.04595998
MolLogP(RDKit),5.57252
XLogP(SDF),
XLogP(CDK),4.597
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.37
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.551017582565798
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,1023921.0268461587
qed,0.5510175825657984
Chi0,18.681433796945203
Chi1,12.528407103102722
TPSA,58.370000000000005
Chi0n,14.875451712911584
Chi0v,17.277944832954013
Chi1n,8.400906417168068
Chi1v,10.073557497980316
Chi2n,5.764830621514043
Chi2v,7.591737076724211
Chi3n,4.144404548441473
Chi3v,5.842213048252747
Chi4n,2.7828985375910706
Chi4v,4.197272052028789
MolMR,110.20920000000002
MolWt,434.3590000000001
fr_SH,0
Kappa1,18.664562682598795
Kappa2,8.053206412542758
Kappa3,3.8340292049756606
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,897.9074384170646
MolLogP,5.572520000000004
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8167419479916722
SMR_VSA1,9.31763212104517
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
