DLiP-ID,J100AE
DLiP-Mol-ID,37076
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14N2O3/c1-3-8(2)13-12(15)9-7-11(17-14-9)10-5-4-6-16-10/h4-8H,3H2,1-2H3,(H,13,15)"
Standard Inchi Key(RDKit),LADVWOMSKJIPMA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(C)NC(=O)c1cc(-c2ccco2)on1
SMILES(SDF),
MW(SDF),
MW(RDKit),234.255
MW Monoisotopic(RDKit),234.100442308
MolLogP(RDKit),2.4629
XLogP(SDF),
XLogP(CDK),1.961
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),68.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.881815766184575
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,12165.951601691557
qed,0.8818157661845754
Chi0,12.25071237662706
Chi1,8.202708600407233
TPSA,68.27000000000001
Chi0n,9.765816594026225
Chi0v,9.765816594026225
Chi1n,5.5183282255623
Chi1v,5.5183282255623
Chi2n,3.836461927766762
Chi2v,3.836461927766762
Chi3n,2.4966854074075813
Chi3v,2.4966854074075813
Chi4n,1.316903242753639
Chi4v,1.316903242753639
MolMR,61.42420000000003
MolWt,234.255
fr_SH,0
Kappa1,11.44554971388371
Kappa2,4.862176834184359
Kappa3,2.5543090579020515
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,487.5836314715505
MolLogP,2.4629000000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
