DLiP-ID,T005JJ
DLiP-Mol-ID,22569
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17NO3/c1-18(2,20)17-9-13-7-12-8-14(11-3-5-19-6-4-11)21-15(12)10-16(13)22-17/h3-8,10,17,20H,9H2,1-2H3"
Standard Inchi Key(RDKit),RIGAZQRUXGMFGY-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)(O)C1Cc2cc3cc(-c4ccncc4)oc3cc2O1
SMILES(SDF),
MW(SDF),
MW(RDKit),295.338
MW Monoisotopic(RDKit),295.120843404
MolLogP(RDKit),3.5692
XLogP(SDF),
XLogP(CDK),2.732
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.784976044380454
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,179589.62760180575
qed,0.7849760443804543
Chi0,15.31962647737941
Chi1,10.504151201088897
TPSA,55.49000000000001
Chi0n,12.536832706631198
Chi0v,12.536832706631198
Chi1n,7.364623832412732
Chi1v,7.364623832412732
Chi2n,6.308576551113014
Chi2v,6.308576551113014
Chi3n,4.1267539612567194
Chi3v,4.1267539612567194
Chi4n,2.8317089380983074
Chi4v,2.8317089380983074
MolMR,83.86280000000004
MolWt,295.338
fr_SH,0
Kappa1,13.341048271463233
Kappa2,4.581537000582153
Kappa3,2.16081430006457
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
