DLiP-ID,I001BH
DLiP-Mol-ID,29707
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H32N2O2/c27-20-21-10-12-25(13-11-21)30-19-5-16-28-17-14-24(15-18-28)26(29,23-8-4-9-23)22-6-2-1-3-7-22/h1-3,6-7,10-13,23-24,29H,4-5,8-9,14-19H2/t26-/m0/s1"
Standard Inchi Key(RDKit),WNMLKDFEBXLYRH-SANMLTNESA-N
Canonical SMILES(RDKit),N#Cc1ccc(OCCCN2CCC([C@](O)(c3ccccc3)C3CCC3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),404.554
MW Monoisotopic(RDKit),404.246378264
MolLogP(RDKit),4.72708
XLogP(SDF),
XLogP(CDK),4.707
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),56.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.646579004482247
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MENIN_MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,7068606.013101644
qed,0.646579004482247
Chi0,20.81334402005525
Chi1,14.696856541928934
TPSA,56.489999999999995
Chi0n,17.671809849915103
Chi0v,17.671809849915103
Chi1n,11.331090411991172
Chi1v,11.331090411991172
Chi2n,8.773306956245749
Chi2v,8.773306956245749
Chi3n,7.044596268602526
Chi3v,7.044596268602526
Chi4n,5.058774804163658
Chi4v,5.058774804163658
MolMR,118.11280000000006
MolWt,404.5540000000002
fr_SH,0
Kappa1,20.903961875513946
Kappa2,9.639042191616653
Kappa3,4.530907372400758
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,833.5873594457477
MolLogP,4.727080000000004
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
