DLiP-ID,C003ZR
DLiP-Mol-ID,34677
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H23N3O3/c1-17-8-10-18(11-9-17)21-20(22(28)19-6-3-2-4-7-19)23(29)24(30)27(21)14-5-13-26-15-12-25-16-26/h2-4,6-12,15-16,21,29H,5,13-14H2,1H3"
Standard Inchi Key(RDKit),OOACPXDVCXQTAT-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(C2C(C(=O)c3ccccc3)=C(O)C(=O)N2CCCn2ccnc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),401.466
MW Monoisotopic(RDKit),401.173941596
MolLogP(RDKit),3.86012
XLogP(SDF),
XLogP(CDK),4.301
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),75.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.610210794879462
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,10515477.147840265
qed,0.6102107948794617
Chi0,21.087211190881014
Chi1,14.558550648063802
TPSA,75.43
Chi0n,16.73222480595234
Chi0v,16.73222480595234
Chi1n,9.921646276825141
Chi1v,9.921646276825141
Chi2n,7.423261824655441
Chi2v,7.423261824655441
Chi3n,5.351880436018824
Chi3v,5.351880436018824
Chi4n,3.799196148729995
Chi4v,3.799196148729995
MolMR,112.90430000000002
MolWt,401.4660000000002
fr_SH,0
Kappa1,19.63799353535936
Kappa2,8.368023105889188
Kappa3,3.7620355038249618
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1070.6535376964052
MolLogP,3.860120000000002
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.6663118721936705
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,0.0
SMR_VSA5,25.93115605767717
SMR_VSA6,6.544756405912575
SMR_VSA7,101.34093471096163
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
