DLiP-ID,I0006J
DLiP-Mol-ID,27948
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27N7O4/c1-13-12-28(20-15-10-26-27-16(15)5-6-24-20)7-8-29(13)22(31)14(2)33-19-11-25-17(21(30)23-3)9-18(19)32-4/h5-6,9-11,13-14H,7-8,12H2,1-4H3,(H,23,30)(H,26,27)/t13-,14+/m1/s1"
Standard Inchi Key(RDKit),CMKHEDIXVQQCOC-KGLIPLIRSA-N
Canonical SMILES(RDKit),CNC(=O)c1cc(OC)c(O[C@@H](C)C(=O)N2CCN(c3nccc4[nH]ncc34)C[C@H]2C)cn1
SMILES(SDF),
MW(SDF),
MW(RDKit),453.503
MW Monoisotopic(RDKit),453.212452344
MolLogP(RDKit),1.2257
XLogP(SDF),
XLogP(CDK),1.659
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),125.57
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.570824372419253
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,36806670.4588469
qed,0.5708243724192533
Chi0,23.53480494807372
Chi1,15.922253953220075
TPSA,125.57
Chi0n,19.031833367242267
Chi0v,19.031833367242267
Chi1n,10.688292947321486
Chi1v,10.688292947321486
Chi2n,7.8520719126183325
Chi2v,7.8520719126183325
Chi3n,5.720529244540303
Chi3v,5.720529244540303
Chi4n,3.9817202006507437
Chi4v,3.9817202006507437
MolMR,121.54590000000003
MolWt,453.5030000000001
fr_SH,0
Kappa1,22.309163456434455
Kappa2,9.308799415378928
Kappa3,4.384703942799093
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,5
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1164.6067784959944
MolLogP,1.2257
NOCount,11
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.433345033074632
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,30.3820189933533
SMR_VSA4,0.0
SMR_VSA5,25.99328161627751
SMR_VSA6,38.69164847254293
SMR_VSA7,36.41719284661091
SMR_VSA8,0.0
