DLiP-ID,I0016I
DLiP-Mol-ID,29499
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17ClN2O3S/c1-11-4-5-14(18-12(2)20-24-13(18)3)10-17(11)25(22,23)21-16-8-6-15(19)7-9-16/h4-10,21H,1-3H3"
Standard Inchi Key(RDKit),UGZJMSVKXJNNSN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),376.865
MW Monoisotopic(RDKit),376.064841084
MolLogP(RDKit),4.72106
XLogP(SDF),
XLogP(CDK),4.56
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.714526247488411
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,410922.9420364435
qed,0.7145262474884109
Chi0,18.189869965382485
Chi1,11.77569413038242
TPSA,72.2
Chi0n,13.99962311469202
Chi0v,15.572048641638201
Chi1n,7.600270065877281
Chi1v,9.461397786480902
Chi2n,5.791838659343539
Chi2v,7.879098566061457
Chi3n,3.896144296810957
Chi3v,5.671407976666301
Chi4n,2.668293572470624
Chi4v,4.124660602759913
MolMR,98.41050000000001
MolWt,376.865
fr_SH,0
Kappa1,17.51101903210995
Kappa2,6.536244034206525
Kappa3,3.547083688763915
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1005.4747849417379
MolLogP,4.721060000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0371758406934934
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,25.666695074589647
SMR_VSA6,4.722094864452088
SMR_VSA7,64.5048296983925
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
