DLiP-ID,T002K7
DLiP-Mol-ID,18862
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N2O5S/c1-15(25)24-14-30-13-20(24)21(26)23-19(22(27)28)11-16-7-9-18(10-8-16)29-12-17-5-3-2-4-6-17/h2-11,20H,12-14H2,1H3,(H,23,26)(H,27,28)/b19-11+/t20-/m0/s1"
Standard Inchi Key(RDKit),ILRYTHRHHMWEFM-FHTAPLDASA-N
Canonical SMILES(RDKit),CC(=O)N1CSC[C@H]1C(=O)N/C(=C/c1ccc(OCc2ccccc2)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),426.494
MW Monoisotopic(RDKit),426.124942804
MolLogP(RDKit),2.7287
XLogP(SDF),
XLogP(CDK),2.933
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.661251552423627
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6717477.792742739
qed,0.661251552423627
Chi0,21.50986092169139
Chi1,14.435560745775547
TPSA,95.94000000000001
Chi0n,16.407841947964762
Chi0v,17.22433852889249
Chi1n,9.314040128386575
Chi1v,10.468740666765829
