DLiP-ID,T005TQ
DLiP-Mol-ID,23006
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H22N2O4/c1-29-21-7-4-8-22(30-2)23(21)18-11-9-16(10-12-18)14-20(24(27)28)26-19-6-3-5-17(13-19)15-25/h3-13,20,26H,14H2,1-2H3,(H,27,28)"
Standard Inchi Key(RDKit),SEVKZCWNOUEJPL-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1-c1ccc(CC(Nc2cccc(C#N)c2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.45
MW Monoisotopic(RDKit),402.157957184
MolLogP(RDKit),4.35028
XLogP(SDF),
XLogP(CDK),4.514
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),91.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.582018545906704
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5979773.44378963
qed,0.5820185459067037
Chi0,21.509860921691395
Chi1,14.549575153157901
TPSA,91.58
Chi0n,16.754482073853566
Chi0v,16.754482073853566
Chi1n,9.351985908318373
Chi1v,9.351985908318373
Chi2n,6.666349908846047
Chi2v,6.666349908846047
Chi3n,4.740926280431484
Chi3v,4.740926280431484
Chi4n,3.258708457239792
Chi4v,3.258708457239792
MolMR,114.88950000000004
MolWt,402.4500000000001
fr_SH,0
Kappa1,20.746538248146397
Kappa2,9.481101181930121
Kappa3,4.703736078203736
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1049.0591938667794
MolLogP,4.3502800000000015
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.8171476335689551
SMR_VSA1,19.374790486512623
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,19.536383686561397
SMR_VSA7,77.85694073647171
SMR_VSA8,0.0
SMR_VSA9,28.695147962754074
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
