DLiP-ID,P000IF
DLiP-Mol-ID,26316
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16ClN3O/c1-12-19(13(2)24-22-12)15-5-8-18-17(9-15)21-11-23(18)10-14-3-6-16(20)7-4-14/h3-9,11H,10H2,1-2H3"
Standard Inchi Key(RDKit),WPKUYRYYDUHEAQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(C)c1-c1ccc2c(c1)ncn2Cc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),337.81
MW Monoisotopic(RDKit),337.098189812
MolLogP(RDKit),5.00984
XLogP(SDF),
XLogP(CDK),4.95
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),43.85
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.527503376547493
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,532625.8472671012
qed,0.5275033765474927
Chi0,16.681433796945207
Chi1,11.61419354072963
TPSA,43.85
Chi0n,13.453762484676522
Chi0v,14.209691430694978
Chi1n,7.742080973684477
Chi1v,8.120045446693704
Chi2n,5.901601200428931
Chi2v,6.338036980900916
Chi3n,4.209269350860961
Chi3v,4.461245666200446
Chi4n,3.026944510571901
Chi4v,3.1529326682416436
MolMR,95.25800000000002
MolWt,337.81000000000006
fr_SH,0
Kappa1,14.968115231046301
Kappa2,5.8003301990867975
Kappa3,2.5888072579692776
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,995.4576898760887
MolLogP,5.009840000000003
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.7170624242983639
SMR_VSA1,4.523094936973348
SMR_VSA2,0.0
SMR_VSA3,14.707741425864008
SMR_VSA4,0.0
SMR_VSA5,20.392230805293824
SMR_VSA6,0.0
SMR_VSA7,70.83214977315704
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.2294620727805
NHOHCount,0
PEOE_VSA1,9.090194584764703
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,34.95670435274279
PEOE_VSA7,49.239845656621675
PEOE_VSA8,17.130841211350898
PEOE_VSA9,23.05464950484553
RingCount,4
SMR_VSA10,22.634341325465037
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,337.098189812
NumHDonors,0
PEOE_VSA10,5.760247418874442
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,14.707741425864008
SlogP_VSA3,6.544756405912575
SlogP_VSA4,13.847474399381248
SlogP_VSA5,17.0176269054199
SlogP_VSA6,53.31498449096916
SlogP_VSA7,5.022633313741326
SlogP_VSA8,22.160304418626517
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,45.18186955200331
EState_VSA5,5.563451491696996
EState_VSA6,0.0
EState_VSA7,44.44026274799223
EState_VSA8,32.906842631248836
