DLiP-ID,T003TU
DLiP-Mol-ID,20822
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H21N3O3/c27-23(28)19-6-1-2-7-21(19)26-14-11-17-16-18(9-10-20(17)26)29-15-5-13-25-22-8-3-4-12-24-22/h1-4,6-12,14,16H,5,13,15H2,(H,24,25)(H,27,28)"
Standard Inchi Key(RDKit),MHBUSUCWWXDLHA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1ccccc1-n1ccc2cc(OCCCNc3ccccn3)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),387.439
MW Monoisotopic(RDKit),387.158291532
MolLogP(RDKit),4.6047
XLogP(SDF),
XLogP(CDK),4.867
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),76.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.432073264510478
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6977366.826706821
qed,0.4320732645104779
Chi0,20.05383099606141
Chi1,14.220346690612276
TPSA,76.38
Chi0n,15.785011210452383
Chi0v,15.785011210452383
Chi1n,9.437369529571358
Chi1v,9.437369529571358
Chi2n,6.572433515596748
Chi2v,6.572433515596748
Chi3n,4.616547166854296
Chi3v,4.616547166854296
Chi4n,3.2310086303826457
Chi4v,3.2310086303826457
MolMR,113.07300000000004
MolWt,387.439
fr_SH,0
Kappa1,18.55808057944771
Kappa2,8.476551436901287
Kappa3,4.214034145514161
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1122.6431949542248
MolLogP,4.604700000000003
NOCount,6
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.4142897065092908
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,18.468426974431825
SMR_VSA7,84.68717638800086
SMR_VSA8,0.0
SMR_VSA9,11.436898107967467
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,167.94496767485748
NHOHCount,2
PEOE_VSA1,19.72727860043844
PEOE_VSA2,0.0
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,54.95175817061889
PEOE_VSA8,24.324667763603525
PEOE_VSA9,23.37442044850974
RingCount,4
SMR_VSA10,22.690092997867936
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,387.1582915320001
NumHDonors,2
PEOE_VSA10,11.567374611118932
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,33.77854922195662
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,16.77881029869483
SlogP_VSA6,79.12372489630387
SlogP_VSA7,0.0
SlogP_VSA8,16.590311206764618
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,5.563451491696996
EState_VSA3,12.29426823919648
