DLiP-ID,C001EG
DLiP-Mol-ID,32252
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N4O3S/c1-23-14-7-11(8-15(24-2)17(14)25-3)13-9-12(16-5-4-6-26-16)21-18-19-10-20-22(13)18/h4-10,13H,1-3H3,(H,19,20,21)"
Standard Inchi Key(RDKit),FUTFJVOKJBAOBP-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C2C=C(c3cccs3)Nc3ncnn32)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),370.434
MW Monoisotopic(RDKit),370.109961436
MolLogP(RDKit),3.4214
XLogP(SDF),
XLogP(CDK),2.764
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),70.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.742055545474055
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1797674.0944665796
qed,0.7420555454740543
Chi0,18.095647359318303
Chi1,12.745044700517592
TPSA,70.43
Chi0n,14.593436101872337
Chi0v,15.409932682800061
Chi1n,7.969479919619966
Chi1v,8.849132730874858
Chi2n,5.614369636250812
Chi2v,6.562063829249684
Chi3n,4.222774354173646
Chi3v,5.1259218179126655
Chi4n,3.018789294940629
Chi4v,3.7257071422386154
MolMR,100.17770000000003
MolWt,370.4340000000002
fr_SH,0
Kappa1,16.467455621301774
Kappa2,6.718836565096953
Kappa3,2.6785714285714284
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,924.2593537146598
MolLogP,3.421400000000001
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.85835562403701
SMR_VSA1,14.210588861400147
