DLiP-ID,T000PJ
DLiP-Mol-ID,16343
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H28N4O5/c1-20(2,18(27)28)13-30-19(29)24-9-7-21(8-10-24)11-16(26)25(12-21)15-5-3-14(4-6-15)17(22)23/h3-6H,7-13H2,1-2H3,(H3,22,23)(H,27,28)"
Standard Inchi Key(RDKit),CARZAUUPVSXYPM-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)(COC(=O)N1CCC2(CC1)CC(=O)N(c1ccc(C(=N)N)cc1)C2)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),416.478
MW Monoisotopic(RDKit),416.205969996
MolLogP(RDKit),2.03697
XLogP(SDF),
XLogP(CDK),1.205
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),137.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.496114663098288
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3819967.589111354
qed,0.49611466309828844
Chi0,22.104083527755577
Chi1,14.02811165020704
TPSA,137.01999999999998
Chi0n,17.31113276260929
Chi0v,17.31113276260929
Chi1n,9.92964488777334
Chi1v,9.92964488777334
Chi2n,8.847876299278662
Chi2v,8.847876299278662
Chi3n,6.028531070633318
Chi3v,6.028531070633318
Chi4n,3.8456404473591554
Chi4v,3.8456404473591554
MolMR,110.43290000000005
MolWt,416.47800000000007
fr_SH,0
Kappa1,21.60509213251757
Kappa2,7.9653667392522856
Kappa3,4.393095215297704
fr_ArN,1
fr_COO,1
