DLiP-ID,C002VL
DLiP-Mol-ID,32855
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N2O6S2/c1-25-13-8-3-10-9-14(27-18(22)15(10)16(13)26-2)17(21)20-11-4-6-12(7-5-11)28(19,23)24/h3-9H,1-2H3,(H,20,21)(H2,19,23,24)"
Standard Inchi Key(RDKit),GHXLBNFVXSCRIX-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2cc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)sc(=O)c2c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),420.468
MW Monoisotopic(RDKit),420.044978232
MolLogP(RDKit),2.1784
XLogP(SDF),
XLogP(CDK),1.166
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),124.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.651759739225973
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,1500487.6380339828
qed,0.6517597392259731
Chi0,20.474327015758657
Chi1,13.239731968507913
TPSA,124.78999999999998
Chi0n,14.884788477227914
Chi0v,16.517781639083367
Chi1n,7.873802268038601
Chi1v,10.236618326887887
Chi2n,5.686917037552043
Chi2v,8.263081457777607
Chi3n,3.9357177337571327
Chi3v,5.777628257310711
Chi4n,2.6271392456722555
Chi4v,3.984547019164847
MolMR,106.96740000000004
MolWt,420.4680000000002
fr_SH,0
Kappa1,19.801739948954665
Kappa2,7.58281773660653
Kappa3,3.8361600720886635
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1217.2946754076886
MolLogP,2.1784
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9529010592235516
SMR_VSA1,22.686060076000857
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.138973737607942
SMR_VSA5,4.895483475517775
SMR_VSA6,19.536383686561397
