DLiP-ID,C003B0
DLiP-Mol-ID,31131
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13N5O2/c1-10-20-12-5-4-11(9-15(12)24-10)21-17(23)22-14-6-8-18-13-3-2-7-19-16(13)14/h2-9H,1H3,(H2,18,21,22,23)"
Standard Inchi Key(RDKit),AKMNUCBQGHFICM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nc2ccc(NC(=O)Nc3ccnc4cccnc34)cc2o1
SMILES(SDF),
MW(SDF),
MW(RDKit),319.324
MW Monoisotopic(RDKit),319.106924656
MolLogP(RDKit),3.72342
XLogP(SDF),
XLogP(CDK),0.843
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),92.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.587086638149938
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,519658.23430221895
qed,0.5870866381499376
Chi0,16.518297090128677
Chi1,11.686673185801062
TPSA,92.94
Chi0n,12.776939520944609
Chi0v,12.776939520944609
Chi1n,7.338581547092244
Chi1v,7.338581547092244
Chi2n,5.224158588872762
Chi2v,5.224158588872762
Chi3n,3.49779720447766
Chi3v,3.49779720447766
Chi4n,2.4826519223724786
Chi4v,2.4826519223724786
MolMR,90.92540000000002
MolWt,319.32400000000007
fr_SH,0
Kappa1,14.133910870470636
Kappa2,5.618497654977582
Kappa3,2.6268167317157194
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1051.9165856607763
MolLogP,3.7234200000000017
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,1
BalabanJ,1.5649591795364874
SMR_VSA1,9.211688121125169
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,10.633577208012662
SMR_VSA7,54.68261347602172
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,136.29623029200084
NHOHCount,2
PEOE_VSA1,15.05072814506601
PEOE_VSA2,9.967957041894417
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,30.33183534230805
PEOE_VSA8,31.071177686061947
PEOE_VSA9,11.204086992299825
RingCount,4
SMR_VSA10,39.539009356196225
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,319.106924656
NumHDonors,2
PEOE_VSA10,11.033401435232523
PEOE_VSA11,11.47374406366815
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.633577208012662
SlogP_VSA2,20.983050075179698
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,5.890723922025908
SlogP_VSA6,53.20904049104916
SlogP_VSA7,0.0
SlogP_VSA8,22.13312229449103
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,1
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,6.031114512338072
EState_VSA3,33.8819180482678
EState_VSA4,5.516700717616262
EState_VSA5,0.0
EState_VSA6,49.64925968522483
EState_VSA7,6.06636706846161
EState_VSA8,25.585512770854287
EState_VSA9,4.417150937053347
SlogP_VSA10,16.169309733438947
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.4649718268977825
