DLiP-ID,C002LT
DLiP-Mol-ID,32212
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14N2OS2/c1-2-16-12-13-10(15)9-7-5-3-4-6-8(7)17-11(9)14-12/h2-6H2,1H3,(H,13,14,15)"
Standard Inchi Key(RDKit),DPLLLUXBJYFAKR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCSc1nc2sc3c(c2c(=O)[nH]1)CCCC3
SMILES(SDF),
MW(SDF),
MW(RDKit),266.391
MW Monoisotopic(RDKit),266.054755068
MolLogP(RDKit),2.9754
XLogP(SDF),
XLogP(CDK),2.433
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),45.75
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.671178347253356
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,13596.608507785453
qed,0.6711783472533563
Chi0,11.828062645816686
Chi1,8.292024997884274
TPSA,45.75
Chi0n,9.707492372824285
Chi0v,11.340485534679738
Chi1n,5.966598873395592
Chi1v,7.768694013976807
Chi2n,4.195143954421903
Chi2v,6.53148944539899
Chi3n,3.0843926101701125
Chi3v,5.025537751211033
Chi4n,2.3492661098014875
Chi4v,4.263197458410423
MolMR,73.28070000000002
MolWt,266.39099999999996
fr_SH,0
Kappa1,11.29007945572376
Kappa2,4.459144724843171
Kappa3,1.9107110192849226
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,614.7285335996053
MolLogP,2.9754000000000014
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.2325105386045703
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,37.763460173215364
SMR_VSA6,5.752853606746789
SMR_VSA7,20.794402764522125
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,107.66118054179611
NHOHCount,1
PEOE_VSA1,4.9839785209472085
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,18.685622149081738
