DLiP-ID,C001LA
DLiP-Mol-ID,32534
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H12BrN3O3S/c1-7(16)13-11(19)15-14-10(17)6-18-9-4-2-8(12)3-5-9/h2-5H,6H2,1H3,(H,14,17)(H2,13,15,16,19)"
Standard Inchi Key(RDKit),OJMJCMIWQVMQSZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)NC(=S)NNC(=O)COc1ccc(Br)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),346.206
MW Monoisotopic(RDKit),344.978274344
MolLogP(RDKit),0.8697
XLogP(SDF),
XLogP(CDK),1.914
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),79.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.559177934011472
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13131.704726360822
qed,0.5591779340114724
Chi0,14.25071237662706
Chi1,8.96923425058676
TPSA,79.46000000000001
Chi0n,10.027465492809732
Chi0v,12.429958612852163
Chi1n,5.219074547666345
Chi1v,6.420321107687561
Chi2n,3.4260819835161587
Chi2v,4.750005802771712
Chi3n,1.7885800592273167
Chi3v,2.521369717497482
Chi4n,1.0333917037436988
Chi4v,1.4924842358534307
MolMR,77.33010000000002
MolWt,346.206
fr_SH,0
Kappa1,15.387703404500865
Kappa2,7.69649600534586
Kappa3,6.725136743979342
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,1
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,478.5786838608212
MolLogP,0.8697000000000004
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.261268570385491
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,16.1683713982271
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,6.606881964512918
SMR_VSA7,28.738187789678854
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,123.53875354497978
NHOHCount,3
PEOE_VSA1,10.05365155780638
PEOE_VSA2,20.440657162364413
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,15.929943897949348
PEOE_VSA7,36.483341716893136
PEOE_VSA8,11.396456715523037
PEOE_VSA9,0.0
RingCount,1
SMR_VSA10,45.07461368442381
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,344.978274344
NumHDonors,3
PEOE_VSA10,5.749511833283905
PEOE_VSA11,11.719318849237677
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
