DLiP-ID,C001GN
DLiP-Mol-ID,32338
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N2O2/c1-22-16-10-12(8-9-15(16)21)18-19-13-6-2-4-11-5-3-7-14(20-18)17(11)13/h2-10,18-21H,1H3"
Standard Inchi Key(RDKit),YRGCJUJHYQYQHQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C2Nc3cccc4cccc(c34)N2)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),292.338
MW Monoisotopic(RDKit),292.121177752
MolLogP(RDKit),4.0902
XLogP(SDF),
XLogP(CDK),3.561
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),53.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.665639444335974
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,184044.4962818786
qed,0.6656394443359739
Chi0,15.104083527755582
Chi1,10.758351493073063
TPSA,53.519999999999996
Chi0n,12.128964577860081
Chi0v,12.128964577860081
Chi1n,7.178072380655384
Chi1v,7.178072380655384
Chi2n,5.362232980084334
Chi2v,5.362232980084334
Chi3n,4.041491981473746
Chi3v,4.041491981473746
Chi4n,2.969082313067322
Chi4v,2.969082313067322
MolMR,88.59320000000004
MolWt,292.338
fr_SH,0
Kappa1,12.830217815695418
Kappa2,4.841557095848212
Kappa3,1.9212443261477792
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,820.0801251901822
MolLogP,4.090200000000002
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7833153646651727
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.165775612134527
SMR_VSA6,17.743374749290194
SMR_VSA7,60.160755107851486
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.90171828147918
NHOHCount,3
PEOE_VSA1,20.476967556653413
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,35.215143980008236
PEOE_VSA8,16.76099676383192
PEOE_VSA9,7.109797541277533
RingCount,4
SMR_VSA10,22.147220978296716
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,292.12117775199994
NumHDonors,3
PEOE_VSA10,6.165775612134527
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.37044016181271
SlogP_VSA2,12.216324936118239
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,11.729227103831523
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.915287445418432
EState_VSA3,5.749511833283905
EState_VSA4,16.93822404106412
EState_VSA5,10.772448428929591
EState_VSA6,13.176164609739143
EState_VSA7,24.26546827384644
EState_VSA8,34.899045481859105
EState_VSA9,4.736862953800049
