DLiP-ID,C003OF
DLiP-Mol-ID,34269
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H8N2O4/c15-11(16)7-3-1-5-13-9(7)10-8(12(17)18)4-2-6-14-10/h1-6H,(H,15,16)(H,17,18)"
Standard Inchi Key(RDKit),KNVZVRWMLMPTTJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cccnc1-c1ncccc1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),244.206
MW Monoisotopic(RDKit),244.048406736
MolLogP(RDKit),1.54
XLogP(SDF),
XLogP(CDK),0.866
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),100.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.848814872836239
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,13022.701377774381
qed,0.8488148728362387
Chi0,13.120955864630139
Chi1,8.609060905280623
TPSA,100.38000000000001
Chi0n,9.069452578065315
Chi0v,9.069452578065315
Chi1n,4.979756863481062
Chi1v,4.979756863481062
Chi2n,3.4094437930467674
Chi2v,3.4094437930467674
Chi3n,2.3005459609583907
Chi3v,2.3005459609583907
Chi4n,1.5331663537416982
Chi4v,1.5331663537416982
MolMR,61.38660000000001
MolWt,244.206
fr_SH,0
Kappa1,11.717444247615811
Kappa2,4.621827284550051
Kappa3,2.0324916511055626
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,569.4794048813279
MolLogP,1.54
NOCount,6
fr_Ar_N,2
fr_COO2,2
fr_urea,0
