DLiP-ID,P0005J
DLiP-Mol-ID,23364
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H29N3O6/c1-4-33-23-8-5-18(17(2)29)16-21(23)27-24(30)19-6-7-22(20(15-19)25(31)32-3)34-14-13-28-11-9-26-10-12-28/h5-9,15-16H,4,10-14H2,1-3H3,(H,27,30)"
Standard Inchi Key(RDKit),HFLCQGIXUOKAGP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(C(C)=O)cc1NC(=O)c1ccc(OCCN2CC=NCC2)c(C(=O)OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),467.522
MW Monoisotopic(RDKit),467.205635648
MolLogP(RDKit),3.092
XLogP(SDF),
XLogP(CDK),2.706
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),106.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.422688119852281
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,37248605.38816245
qed,0.42268811985228094
Chi0,24.50142475325411
Chi1,16.422253953220075
TPSA,106.52999999999999
Chi0n,19.628009505229763
Chi0v,19.628009505229763
Chi1n,11.074876199935172
Chi1v,11.074876199935172
Chi2n,7.59460695849995
Chi2v,7.59460695849995
Chi3n,5.260546985977702
Chi3v,5.260546985977702
Chi4n,3.431794960410406
Chi4v,3.431794960410406
MolMR,128.64420000000007
MolWt,467.5220000000004
fr_SH,0
Kappa1,24.913283122123794
Kappa2,11.94303371254128
Kappa3,6.414489794326021
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1082.3158180919734
MolLogP,3.0920000000000014
NOCount,9
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7757441407906065
SMR_VSA1,28.59420041361561
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,4.992404732635669
SMR_VSA5,13.847474399381248
SMR_VSA6,51.81937569796
SMR_VSA7,53.08855688586065
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,198.2571339875112
NHOHCount,1
PEOE_VSA1,19.527377465406477
PEOE_VSA2,19.48138883162979
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,50.245676810150904
PEOE_VSA8,36.97577278066703
PEOE_VSA9,25.94882218638659
RingCount,3
SMR_VSA10,29.561716817887174
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,467.205635648
NumHDonors,1
PEOE_VSA10,23.669357122777722
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,14.790514511606428
SlogP_VSA2,75.27682736800774
SlogP_VSA3,4.736862953800049
SlogP_VSA4,0.0
SlogP_VSA5,44.921440426687695
SlogP_VSA6,41.390607143405326
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.876485017303356
EState_VSA2,16.91014792975893
EState_VSA3,42.508381767886775
EState_VSA4,19.634269217737724
EState_VSA5,20.099901809429767
EState_VSA6,30.33183534230805
