DLiP-ID,T003FB
DLiP-Mol-ID,20188
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H19N5O4/c1-22-9-11-6-10(16(25)20-8-14-18-4-5-19-14)2-3-12(11)21-13(17(22)26)7-15(23)24/h2-6,13,21H,7-9H2,1H3,(H,18,19)(H,20,25)(H,23,24)/t13-/m0/s1"
Standard Inchi Key(RDKit),LCZBUTQADYURRB-ZDUSSCGKSA-N
Canonical SMILES(RDKit),CN1Cc2cc(C(=O)NCc3ncc[nH]3)ccc2N[C@@H](CC(=O)O)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),357.37
MW Monoisotopic(RDKit),357.143704088
MolLogP(RDKit),0.5669
XLogP(SDF),
XLogP(CDK),0.236
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.619351687304312
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,845442.9565600187
qed,0.6193516873043122
Chi0,18.68143379694521
Chi1,12.435560745775549
TPSA,127.42000000000002
Chi0n,14.151807616588863
Chi0v,14.151807616588863
Chi1n,8.064687541877005
Chi1v,8.064687541877005
Chi2n,6.07955874594238
Chi2v,6.07955874594238
Chi3n,4.128987967120545
Chi3v,4.128987967120545
Chi4n,2.8291607511848276
Chi4v,2.8291607511848276
MolMR,92.33740000000004
MolWt,357.3700000000001
fr_SH,0
Kappa1,17.462625021082815
Kappa2,7.25773741908422
Kappa3,3.822094215984411
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,833.683709865986
MolLogP,0.5668999999999991
NOCount,9
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.7688950022857737
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,20.184655376751223
SMR_VSA4,0.0
SMR_VSA5,25.55217526389912
SMR_VSA6,12.36446058668352
SMR_VSA7,47.5440958300049
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.96936957891216
NHOHCount,4
PEOE_VSA1,25.62399285465105
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,23.762552697081826
PEOE_VSA8,37.236953298196475
PEOE_VSA9,12.965578028838586
RingCount,3
SMR_VSA10,23.471051021338422
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,357.14370408799994
NumHDonors,4
PEOE_VSA10,11.866245327147887
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,50.8475717260656
SlogP_VSA3,22.678587179968794
SlogP_VSA4,0.0
SlogP_VSA5,28.16666628839175
SlogP_VSA6,30.59278834861098
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.011146117099809
EState_VSA2,31.32469389345417
EState_VSA3,17.075242264380485
EState_VSA4,5.563451491696996
EState_VSA5,4.899909730850478
EState_VSA6,37.640460331288175
EState_VSA7,0.0
EState_VSA8,20.60153424990708
EState_VSA9,5.106527394840706
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
