DLiP-ID,T002D8
DLiP-Mol-ID,18557
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H26N2O4S/c1-2-3-9-21-10-11-26-16(13-17(22)23)18(24)20-15(19(21)25)12-14-7-5-4-6-8-14/h4-8,15-16H,2-3,9-13H2,1H3,(H,20,24)(H,22,23)/t15-,16-/m0/s1"
Standard Inchi Key(RDKit),HXKJHDYNFWGCHF-HOTGVXAUSA-N
Canonical SMILES(RDKit),CCCCN1CCS[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),378.494
MW Monoisotopic(RDKit),378.161328312
MolLogP(RDKit),1.9327
XLogP(SDF),
XLogP(CDK),2.417
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),86.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.757111869792163
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,572643.9357920121
qed,0.7571118697921633
Chi0,18.94094682093905
Chi1,12.507239053047545
TPSA,86.71000000000001
Chi0n,15.018619705488586
Chi0v,15.835116286416312
Chi1n,8.973838107827977
Chi1v,10.022592897808636
Chi2n,6.387031560354381
Chi2v,7.697648777880426
