DLiP-ID,J0004B
DLiP-Mol-ID,26863
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H29F2N3O/c1-2-3-11-27-12-9-22(10-13-27)28(17-18-7-5-4-6-8-18)23(29)26-21-15-19(24)14-20(25)16-21/h4-8,14-16,22H,2-3,9-13,17H2,1H3,(H,26,29)"
Standard Inchi Key(RDKit),ZIPLARAAYQQKNP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cc(F)cc(F)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),401.501
MW Monoisotopic(RDKit),401.227868988
MolLogP(RDKit),5.26340000000001
XLogP(SDF),
XLogP(CDK),4.836
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),35.58
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.686591645784549
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,3455373.638335437
qed,0.6865916457845487
Chi0,20.639617433688315
Chi1,14.046045193307766
TPSA,35.58
Chi0n,16.91161109968125
Chi0v,16.91161109968125
Chi1n,10.348696532605034
Chi1v,10.348696532605034
Chi2n,7.628144090294162
Chi2v,7.628144090294162
Chi3n,5.396199374150431
Chi3v,5.396199374150431
Chi4n,3.804456917000621
Chi4v,3.804456917000621
MolMR,111.73170000000006
MolWt,401.50100000000015
fr_SH,0
Kappa1,21.243953213231745
Kappa2,10.34779683137283
Kappa3,6.256897501567992
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,771.7148856682455
MolLogP,5.263400000000005
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.7126540923612243
SMR_VSA1,13.575367279421462
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,45.193620926455196
SMR_VSA6,24.951057821744058
SMR_VSA7,65.72882972148167
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,171.05915186030552
NHOHCount,1
PEOE_VSA1,15.116608065707286
PEOE_VSA2,0.0
PEOE_VSA3,13.575367279421462
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,43.67639416492468
PEOE_VSA7,43.50340690331082
PEOE_VSA8,37.42986339003085
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,11.718500787021634
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
