DLiP-ID,J000EE
DLiP-Mol-ID,27267
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H31N3O3/c1-3-33-25-12-11-20(24-18-29-13-5-8-26(29)28-24)14-22(25)17-30(16-19-9-10-19)27(31)21-6-4-7-23(15-21)32-2/h4,6-7,11-12,14-15,18-19H,3,5,8-10,13,16-17H2,1-2H3"
Standard Inchi Key(RDKit),LZJTUJUGRLHZQK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(-c2cn3c(n2)CCC3)cc1CN(CC1CC1)C(=O)c1cccc(OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),445.563
MW Monoisotopic(RDKit),445.236541852
MolLogP(RDKit),4.956
XLogP(SDF),
XLogP(CDK),4.992
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),56.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.467350499731814
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,56935595.367151566
qed,0.46735049973181425
Chi0,22.785881803630286
Chi1,16.13969288843438
TPSA,56.59
Chi0n,19.41939233009048
Chi0v,19.41939233009048
Chi1n,11.897639884670063
Chi1v,11.897639884670063
Chi2n,8.955840038502284
Chi2v,8.955840038502284
Chi3n,6.455276595792543
Chi3v,6.455276595792543
Chi4n,4.528278953561603
Chi4v,4.528278953561603
MolMR,127.61150000000005
MolWt,445.5630000000002
fr_SH,0
Kappa1,21.559691605841984
Kappa2,9.297288941736028
Kappa3,4.747470050369538
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1127.7633908750558
MolLogP,4.956000000000005
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.454582460409479
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,5.917906046161393
SMR_VSA5,45.69653650321982
SMR_VSA6,20.261435911703025
SMR_VSA7,65.61272053223827
SMR_VSA8,0.0
SMR_VSA9,22.756403153113265
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,194.70046071514292
NHOHCount,0
PEOE_VSA1,18.94073528624193
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,68.50231052539971
PEOE_VSA8,48.942288887367795
PEOE_VSA9,19.41060750063891
RingCount,5
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,445.23654185199996
NumHDonors,0
PEOE_VSA10,17.323428164567737
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,9.473725907600098
SlogP_VSA2,40.61960354064358
SlogP_VSA3,19.51033443475116
SlogP_VSA4,5.917906046161393
SlogP_VSA5,47.93204673393439
SlogP_VSA6,48.661413050844345
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
