DLiP-ID,T003KH
DLiP-Mol-ID,20421
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H18N4O5/c17-15(18)9-1-2-11-10(7-9)8-12(25-11)16(24)20-5-3-13(21)19-6-4-14(22)23/h1-2,7-8H,3-6H2,(H3,17,18)(H,19,21)(H,20,24)(H,22,23)"
Standard Inchi Key(RDKit),LPCZPWHBAIGNOR-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc2oc(C(=O)NCCC(=O)NCCC(=O)O)cc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),346.343
MW Monoisotopic(RDKit),346.127719676
MolLogP(RDKit),0.42767
XLogP(SDF),
XLogP(CDK),-0.0370000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),158.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.344139665870966
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,361599.75184901763
qed,0.3441396658709658
Chi0,18.39697674656903
Chi1,11.863081100704113
TPSA,158.51
Chi0n,13.295385228049732
Chi0v,13.295385228049732
Chi1n,7.5125003617797566
Chi1v,7.5125003617797566
Chi2n,5.276523232142712
Chi2v,5.276523232142712
Chi3n,3.3497478707197064
Chi3v,3.3497478707197064
Chi4n,2.0967095127315107
Chi4v,2.0967095127315107
MolMR,89.44280000000002
