DLiP-ID,T000EO
DLiP-Mol-ID,15887
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21N5O4/c1-29-18-7-6-14(25(27)28)12-17(18)24-19(13-23-10-8-21-9-11-23)22-16-5-3-2-4-15(16)20(24)26/h2-7,12,21H,8-11,13H2,1H3"
Standard Inchi Key(RDKit),BDDCLDRLILJZPQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc([N+](=O)[O-])cc1-n1c(CN2CCNCC2)nc2ccccc2c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),395.419
MW Monoisotopic(RDKit),395.159354152
MolLogP(RDKit),1.7077
XLogP(SDF),
XLogP(CDK),2.214
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),102.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.518134670468165
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,4875467.052433938
qed,0.518134670468165
Chi0,20.38010440969447
Chi1,14.079718698118981
TPSA,102.53
Chi0n,15.998833334115407
Chi0v,15.998833334115407
Chi1n,9.348013349830257
Chi1v,9.348013349830257
Chi2n,6.825152424636121
Chi2v,6.825152424636121
Chi3n,5.033971953721238
Chi3v,5.033971953721238
Chi4n,3.569136720229394
Chi4v,3.569136720229394
MolMR,108.69310000000003
MolWt,395.41900000000015
fr_SH,0
Kappa1,19.035453872209203
Kappa2,7.9785052533512735
Kappa3,3.693792244804378
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1121.5449213746233
MolLogP,1.7076999999999996
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9543263466559306
SMR_VSA1,9.660174002617719
SMR_VSA2,0.0
SMR_VSA3,19.76777650359537
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,33.288823164927834
SMR_VSA7,68.7570963251206
SMR_VSA8,0.0
SMR_VSA9,11.436898107967467
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,166.24098974449683
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,24.375864831479227
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,18.19910120538483
PEOE_VSA8,38.31175976057352
PEOE_VSA9,35.1681762027724
RingCount,4
SMR_VSA10,16.59031120676462
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,395.159354152
NumHDonors,1
PEOE_VSA10,11.573916331283833
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.24665316973557
PEOE_VSA14,0.0
SlogP_VSA1,15.612918452858386
SlogP_VSA2,52.663122113334545
SlogP_VSA3,6.544756405912575
SlogP_VSA4,10.114318268765572
SlogP_VSA5,5.824404497999927
SlogP_VSA6,47.25910666330309
SlogP_VSA7,0.0
SlogP_VSA8,16.59031120676462
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,4.923311048817671
EState_VSA2,11.24665316973557
EState_VSA3,34.70898394396103
