DLiP-ID,I000UM
DLiP-Mol-ID,28986
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H32N6/c1-32(2)16-15-27-19-24-17-23(12-14-29-24)31-22-9-7-21(8-10-22)28-13-11-20-18-30-26-6-4-3-5-25(20)26/h3-10,12,14,17-18,27-28,30H,11,13,15-16,19H2,1-2H3,(H,29,31)"
Standard Inchi Key(RDKit),NYKWGOOLVPPXBJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)CCNCc1cc(Nc2ccc(NCCc3c[nH]c4ccccc34)cc2)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),428.584
MW Monoisotopic(RDKit),428.268845024
MolLogP(RDKit),4.6123
XLogP(SDF),
XLogP(CDK),3.058
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),68.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.262734760182362
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,27662787.322168916
qed,0.26273476018236175
Chi0,22.17515133962105
Chi1,15.669836433395455
TPSA,68.00999999999999
Chi0n,18.85816432720817
Chi0v,18.85816432720817
Chi1n,11.135654078023208
Chi1v,11.135654078023208
Chi2n,8.25453106118306
Chi2v,8.25453106118306
Chi3n,5.430435640223017
Chi3v,5.430435640223017
Chi4n,3.6897722962365935
Chi4v,3.6897722962365935
MolMR,134.7147999999999
MolWt,428.5840000000001
fr_SH,0
Kappa1,21.865905602599526
Kappa2,10.795716999102543
Kappa3,6.091615732774907
fr_ArN,0
fr_COO,0
fr_C_O,0
