DLiP-ID,C000BS
DLiP-Mol-ID,30582
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H9NO5/c10-7(9(14)15)4-1-2-6(11)5(3-4)8(12)13/h1-3,7,11H,10H2,(H,12,13)(H,14,15)/t7-/m0/s1"
Standard Inchi Key(RDKit),CHZBCZTXSTWCIG-ZETCQYMHSA-N
Canonical SMILES(RDKit),N[C@H](C(=O)O)c1ccc(O)c(C(=O)O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),211.173
MW Monoisotopic(RDKit),211.048072388
MolLogP(RDKit),0.1748
XLogP(SDF),
XLogP(CDK),-2.137
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),120.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.565266658609616
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1736.026621862496
qed,0.5652666586096156
Chi0,11.585421958697399
Chi1,6.93042811032654
TPSA,120.85000000000001
Chi0n,7.54488871337573
Chi0v,7.54488871337573
Chi1n,3.977786157949345
Chi1v,3.977786157949345
Chi2n,2.897647579299619
Chi2v,2.897647579299619
Chi3n,1.8761871766742584
Chi3v,1.8761871766742584
Chi4n,1.0609807260861148
Chi4v,1.0609807260861148
MolMR,49.630300000000005
MolWt,211.17299999999997
fr_SH,0
Kappa1,10.997399380804952
Kappa2,3.9708114728086206
Kappa3,2.2329056525619118
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,414.9637727392322
MolLogP,0.17479999999999957
NOCount,6
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,3.183077979321096
SMR_VSA1,24.90865655266576
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,6.041840829147961
SMR_VSA6,0.0
SMR_VSA7,29.32600418877882
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
