DLiP-ID,J100BT
DLiP-Mol-ID,37127
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N2O7S/c1-14(22(27)28)23-19-11-12-20(18-6-4-3-5-17(18)19)24(13-21(25)26)32(29,30)16-9-7-15(31-2)8-10-16/h3-12,14,23H,13H2,1-2H3,(H,25,26)(H,27,28)/t14-/m1/s1"
Standard Inchi Key(RDKit),IZJQDVYWSXTOGY-CQSZACIVSA-N
Canonical SMILES(RDKit),COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@H](C)C(=O)O)c3ccccc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),458.492
MW Monoisotopic(RDKit),458.114772044
MolLogP(RDKit),3.0133
XLogP(SDF),
XLogP(CDK),3.395
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),133.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.445631384201729
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,10186626.393444184
qed,0.44563138420172915
Chi0,23.465890847321372
Chi1,15.145102839021192
TPSA,133.24
Chi0n,17.34909027155549
Chi0v,18.165586852483212
Chi1n,9.545355555557784
Chi1v,10.985418884358426
Chi2n,6.963043585612561
Chi2v,8.825353861642121
Chi3n,4.838484512508179
Chi3v,6.612440769720763
Chi4n,3.2189143472874795
Chi4v,4.651970849124664
MolMR,119.83010000000004
