DLiP-ID,T007MP
DLiP-Mol-ID,25807
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H28N5O7P/c1-3-29-32(28,30-4-2)24-16(19(26)27)11-22-17(25)10-14-9-15(23-31-14)12-5-7-13(8-6-12)18(20)21/h5-8,14,16H,3-4,9-11H2,1-2H3,(H3,20,21)(H,22,25)(H,24,28)(H,26,27)"
Standard Inchi Key(RDKit),YISBMJFNRJBYJF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOP(=O)(NC(CNC(=O)CC1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O)OCC
SMILES(SDF),
MW(SDF),
MW(RDKit),469.435
MW Monoisotopic(RDKit),469.172634866
MolLogP(RDKit),1.19387
XLogP(SDF),
XLogP(CDK),-1.597
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),12
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),185.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,2
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),13
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.160701965438405
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,9161808.53255461
qed,0.1607019654384047
Chi0,23.725403871315216
Chi1,15.168852856131267
TPSA,185.41999999999996
Chi0n,17.868116319543173
Chi0v,18.762543510543086
Chi1n,10.009429171014027
Chi1v,11.552087881524317
Chi2n,6.821689869414611
Chi2v,8.591222691661217
Chi3n,4.388701730283123
Chi3v,6.212836817605861
Chi4n,2.8761128951818318
Chi4v,4.363003032299115
MolMR,116.52980000000002
MolWt,469.4350000000002
fr_SH,0
Kappa1,25.47043010632513
Kappa2,11.722748977217677
Kappa3,7.4145046336158895
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,895.8325679420686
MolLogP,1.193870000000001
NOCount,12
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.8565519157656327
SMR_VSA1,33.14573295507594
SMR_VSA2,5.409283605791522
SMR_VSA3,10.404083667083484
SMR_VSA4,10.889380203912726
