DLiP-ID,J100DV
DLiP-Mol-ID,37201
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C31H37N5O/c1-23(37)34-30-9-5-8-29(30)31(22-33,26-6-3-2-4-7-26)27-14-16-35(17-15-27)19-25-20-36(21-25)28-12-10-24(18-32)11-13-28/h2-4,6-7,10-13,25,27,29-30H,5,8-9,14-17,19-21H2,1H3,(H,34,37)/t29-,30-,31+/m0/s1"
Standard Inchi Key(RDKit),FFGIAMNWBZNVQQ-RWSKJCERSA-N
Canonical SMILES(RDKit),CC(=O)N[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),495.671
MW Monoisotopic(RDKit),495.299810804
MolLogP(RDKit),4.47286
XLogP(SDF),
XLogP(CDK),4.748
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),37
QED Weighted(RDKit),0.612698650896151
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MENIN/MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,289457957.02159077
qed,0.6126986508961509
Chi0,25.829851878000298
Chi1,18.028373661537852
TPSA,83.16
Chi0n,21.773723983794305
Chi0v,21.773723983794305
Chi1n,13.745230946499747
Chi1v,13.745230946499747
Chi2n,11.195826959303728
Chi2v,11.195826959303728
Chi3n,8.992595217491372
Chi3v,8.992595217491372
Chi4n,7.223084468436256
Chi4v,7.223084468436256
MolMR,144.70269999999985
MolWt,495.67100000000045
fr_SH,0
Kappa1,25.305882005400267
Kappa2,10.950911815939243
Kappa3,5.086993974232618
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1152.824793623497
MolLogP,4.472860000000004
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.2356495480935474
SMR_VSA1,4.794537184071822
SMR_VSA2,10.523783109476973
SMR_VSA3,10.216698334856808
SMR_VSA4,17.75371813848418
SMR_VSA5,50.484676612865414
SMR_VSA6,37.62369176041335
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,12.138442625584547
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,220.42111502550486
NHOHCount,1
PEOE_VSA1,15.116608065707286
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,10.523783109476973
PEOE_VSA5,0.0
PEOE_VSA6,36.75265696523406
PEOE_VSA7,74.51962511523402
PEOE_VSA8,50.123045613582654
PEOE_VSA9,23.11688458667832
RingCount,5
SMR_VSA10,11.594566004035068
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,495.29981080400006
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.216698334856808
SlogP_VSA2,49.572712318912814
SlogP_VSA3,10.209527653468601
SlogP_VSA4,40.4159438735457
SlogP_VSA5,50.15474829771466
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,2
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.41499046939678
EState_VSA2,23.784832650822253
EState_VSA3,11.48135753785839
EState_VSA4,70.3913416358899
EState_VSA5,5.687386274683562
EState_VSA6,6.923737199690624
EState_VSA7,30.33183534230805
