DLiP-ID,T007CZ
DLiP-Mol-ID,25381
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10BrNO3S2/c1-7(12(17)18)15-11(16)10(20-13(15)19)6-8-2-4-9(14)5-3-8/h2-7H,1H3,(H,17,18)/b10-6-/t7-/m0/s1"
Standard Inchi Key(RDKit),XLUYPDFTJMZMFG-LOBLAWFCSA-N
Canonical SMILES(RDKit),C[C@@H](C(=O)O)N1C(=O)/C(=C/c2ccc(Br)cc2)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),372.265
MW Monoisotopic(RDKit),370.92854728
MolLogP(RDKit),3.1234
XLogP(SDF),
XLogP(CDK),2.57
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),57.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.652767027540246
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bcl-2 and Bcl-XL with BAX; BAK and BID
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,29867.083114509627
qed,0.6527670275402461
Chi0,14.861442840636295
Chi1,9.396754605515328
TPSA,57.61
Chi0n,10.369486441002351
Chi0v,13.588476141972508
Chi1n,5.653365123681353
Chi1v,7.671108264630295
Chi2n,4.117475142997271
Chi2v,6.708916260985119
Chi3n,2.736002932673188
Chi3v,4.595066327737574
Chi4n,1.6345365427883578
Chi4v,3.3173995779853516
MolMR,86.25180000000003
MolWt,372.26500000000004
fr_SH,0
Kappa1,15.213450234756605
Kappa2,6.069762940282141
Kappa3,3.1050699012563427
fr_ArN,0
