DLiP-ID,C101SF
DLiP-Mol-ID,37231
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H31N3O3/c1-19-8-7-9-20(2)28(19)32-29(34)26(31-27(33)15-12-21-10-5-4-6-11-21)16-22-18-30-25-14-13-23(35-3)17-24(22)25/h4-11,13-14,17-18,26,30H,12,15-16H2,1-3H3,(H,31,33)(H,32,34)"
Standard Inchi Key(RDKit),HMNFXRLIXFLLBA-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2[nH]cc(CC(NC(=O)CCc3ccccc3)C(=O)Nc3c(C)cccc3C)c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),469.585
MW Monoisotopic(RDKit),469.236541852
MolLogP(RDKit),5.09214
XLogP(SDF),
XLogP(CDK),4.592
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),83.22
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.319213241739362
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumor necrosis factor ligand superfamily member 11/11A
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,94255561.02062455
qed,0.31921324173936194
Chi0,24.78588180363029
Chi1,16.939892043425118
TPSA,83.22
Chi0n,20.35161871441637
Chi0v,20.35161871441637
Chi1n,11.786964136874433
Chi1v,11.786964136874433
Chi2n,8.791309846648153
Chi2v,8.791309846648153
Chi3n,6.263222857798213
Chi3v,6.263222857798213
Chi4n,4.273548026212028
Chi4v,4.273548026212028
MolMR,139.79409999999993
MolWt,469.58500000000015
fr_SH,0
Kappa1,24.076880952868756
Kappa2,10.910704410968448
Kappa3,5.899987919555388
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1307.5219349573472
MolLogP,5.092140000000004
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5580797121050833
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,39.15178009730724
SMR_VSA6,12.426586145283864
SMR_VSA7,95.18068729147879
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,205.25720931075452
NHOHCount,3
PEOE_VSA1,20.354418682759917
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,60.72120319448006
PEOE_VSA8,35.62879802422971
PEOE_VSA9,7.109797541277533
RingCount,4
SMR_VSA10,28.40467066546763
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,469.236541852
NumHDonors,3
PEOE_VSA10,11.791352662431866
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.37044016181271
