DLiP-ID,P0006U
DLiP-Mol-ID,23682
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H27NO4/c1-24(2,3)29-22(23(26)27)21-20(17-9-5-6-10-18(17)25(21)4)16-11-12-19-15(14-16)8-7-13-28-19/h5-6,9-12,14,22H,7-8,13H2,1-4H3,(H,26,27)/t22-/m0/s1"
Standard Inchi Key(RDKit),JEETZBQOULTRJG-QFIPXVFZSA-N
Canonical SMILES(RDKit),Cn1c([C@H](OC(C)(C)C)C(=O)O)c(-c2ccc3c(c2)CCCO3)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),393.483
MW Monoisotopic(RDKit),393.194008344
MolLogP(RDKit),5.1111
XLogP(SDF),
XLogP(CDK),4.721
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),60.69
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.668984415537928
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,3657439.942008859
qed,0.6689844155379279
Chi0,20.758784066134826
Chi1,13.75983881233692
TPSA,60.69
Chi0n,17.359294559468157
Chi0v,17.359294559468157
Chi1n,10.001071620121131
Chi1v,10.001071620121131
Chi2n,8.559424508382076
Chi2v,8.559424508382076
Chi3n,5.29346336958207
Chi3v,5.29346336958207
Chi4n,4.115951305911741
Chi4v,4.115951305911741
MolMR,113.38580000000005
MolWt,393.4830000000002
fr_SH,0
Kappa1,19.52313684177463
Kappa2,7.229252777020663
Kappa3,3.6247525795013225
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1074.4095664304266
MolLogP,5.111100000000004
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.9767466616350298
SMR_VSA1,19.374790486512623
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,7.04767198267719
SMR_VSA5,45.31787204365588
SMR_VSA6,6.606881964512918
SMR_VSA7,53.721948965776726
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,170.41573006659618
NHOHCount,1
PEOE_VSA1,19.14735295023216
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,62.93885903370272
PEOE_VSA8,23.514048406455245
PEOE_VSA9,17.901860770345067
RingCount,4
SMR_VSA10,16.872230220032904
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,393.194008344
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,6.103966387748303
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
