DLiP-ID,C001HN
DLiP-Mol-ID,32380
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H19Cl2N7O/c1-8(2)11-7-14(22-16-15(11)9(3)25-26(16)4)23-24-17(27)20-10-5-12(18)21-13(19)6-10/h5-8H,1-4H3,(H,22,23)(H2,20,21,24,27)"
Standard Inchi Key(RDKit),RNSLRQNDXRSASX-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nn(C)c2nc(NNC(=O)Nc3cc(Cl)nc(Cl)c3)cc(C(C)C)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),408.293
MW Monoisotopic(RDKit),407.102813588
MolLogP(RDKit),4.25052
XLogP(SDF),
XLogP(CDK),4.749
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),96.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.443083859782272
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,943916.4732273006
qed,0.44308385978227177
Chi0,19.714813991764817
Chi1,12.740091198415861
TPSA,96.76
Chi0n,15.262432695240653
Chi0v,16.774290587277562
Chi1n,8.246369480783933
Chi1v,9.002298426802389
Chi2n,6.3644396198761015
Chi2v,7.138937102239494
Chi3n,3.945989919253876
Chi3v,4.333238660435573
Chi4n,2.8176230944228613
Chi4v,3.2780855175054424
MolMR,107.36910000000002
MolWt,408.2930000000001
fr_SH,0
Kappa1,19.189065024833226
Kappa2,7.575736618306902
Kappa3,4.226882166005475
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,995.9248344405612
MolLogP,4.2505200000000025
NOCount,8
fr_Ar_N,4
fr_COO2,0
fr_urea,1
BalabanJ,1.7809871135080648
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,25.174233182451022
SMR_VSA4,7.04767198267719
SMR_VSA5,26.689117645233264
SMR_VSA6,10.742580001116716
SMR_VSA7,39.76270032571587
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,165.79412108739595
NHOHCount,3
PEOE_VSA1,5.316788604006331
PEOE_VSA2,15.533385729365953
PEOE_VSA3,14.76249422596624
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,37.049354179846276
PEOE_VSA7,36.60419594293384
PEOE_VSA8,18.12128247182555
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,51.77164478055422
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,407.102813588
NumHDonors,3
PEOE_VSA10,16.124082411620613
PEOE_VSA11,5.647177220767728
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,16.1683713982271
SlogP_VSA2,25.77955629767871
SlogP_VSA3,7.04767198267719
SlogP_VSA4,6.923737199690624
SlogP_VSA5,31.0227599320881
SlogP_VSA6,18.19910120538483
SlogP_VSA7,10.306219633785584
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
