DLiP-ID,T004UC
DLiP-Mol-ID,21513
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H14Cl3N5O3/c20-12-7-23-8-13(21)17(12)18(28)26-11-3-1-10(2-4-11)5-14(19(29)30)27-16-6-15(22)24-9-25-16/h1-4,6-9,14H,5H2,(H,26,28)(H,29,30)(H,24,25,27)/t14-/m0/s1"
Standard Inchi Key(RDKit),PEUYXPQMQXMEHJ-AWEZNQCLSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(C[C@H](Nc2cc(Cl)ncn2)C(=O)O)cc1)c1c(Cl)cncc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),466.712
MW Monoisotopic(RDKit),465.016222348
MolLogP(RDKit),4.1919
XLogP(SDF),
XLogP(CDK),0.964
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),117.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.44684785686444
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4371765.375915932
qed,0.4468478568644395
Chi0,21.672997628507925
Chi1,14.3294075958929
TPSA,117.1
Chi0n,15.142503585848422
Chi0v,17.41029042390379
Chi1n,8.494030645888218
Chi1v,9.627924064915902
Chi2n,6.094448895545548
Chi2v,7.296097890208456
