DLiP-ID,T002LZ
DLiP-Mol-ID,18929
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16BrN3O2/c20-15-8-4-9-16(12-15)22-19(24)23-18-17(10-5-11-21-18)25-13-14-6-2-1-3-7-14/h1-12H,13H2,(H2,21,22,23,24)"
Standard Inchi Key(RDKit),IPTPSYZUVYQZSQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cccc(Br)c1)Nc1ncccc1OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),398.26
MW Monoisotopic(RDKit),397.042588852
MolLogP(RDKit),5.0671
XLogP(SDF),
XLogP(CDK),4.381
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),63.25
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.63112925878363
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,594550.3845106403
qed,0.6311292587836298
Chi0,17.484916895309066
Chi1,12.203509938206668
TPSA,63.25
Chi0n,13.276984660898972
Chi0v,14.862981200013676
Chi1n,7.658657348484061
Chi1v,8.451655618041412
Chi2n,5.213890155636206
Chi2v,6.129565684427896
Chi3n,3.322275272728535
Chi3v,3.8155269114455748
Chi4n,2.172337124969543
Chi4v,2.5715755324600122
MolMR,101.79440000000001
MolWt,398.26000000000016
fr_SH,0
Kappa1,16.97903685282414
Kappa2,8.301033577042567
Kappa3,5.055303188193582
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,856.0527586590256
MolLogP,5.067100000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.6468532170354546
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
