DLiP-ID,C100NE
DLiP-Mol-ID,35833
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13NO5S3/c18-14(19)9-24-13-8-12(10-4-1-2-5-11(10)16(13)20)17-25(21,22)15-6-3-7-23-15/h1-8,17,20H,9H2,(H,18,19)"
Standard Inchi Key(RDKit),GVAXUAIZKLJWSB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CSc1cc(NS(=O)(=O)c2cccs2)c2ccccc2c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),395.483
MW Monoisotopic(RDKit),394.995585516
MolLogP(RDKit),3.5844
XLogP(SDF),
XLogP(CDK),2.496
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),103.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.435295945678433
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,526300.1400087918
qed,0.43529594567843294
Chi0,18.026733258565955
Chi1,11.881847280265069
TPSA,103.7
Chi0n,12.669825868486651
Chi0v,15.11931561126983
Chi1n,7.0391407802172825
Chi1v,10.387555398720059
Chi2n,5.03645283367455
Chi2v,8.910566203939231
Chi3n,3.336577877850219
Chi3v,7.1130441728986735
Chi4n,2.279818373772185
Chi4v,5.070143733315327
MolMR,99.10010000000001
MolWt,395.4830000000001
fr_SH,0
Kappa1,17.58846243412752
Kappa2,6.946150077413056
Kappa3,3.7287329893356747
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1029.3597359447388
MolLogP,3.584400000000002
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.099963186407449
SMR_VSA1,23.425388958082173
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.104662653039854
SMR_VSA6,10.474948471198877
SMR_VSA7,47.844632249697185
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,151.72414706232504
NHOHCount,3
PEOE_VSA1,10.213054789681411
PEOE_VSA2,9.51663204852391
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,23.098670827325854
PEOE_VSA6,30.33183534230805
PEOE_VSA7,17.512796907389134
PEOE_VSA8,10.772448428929591
PEOE_VSA9,16.335723356948126
RingCount,3
SMR_VSA10,55.55110197229844
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,394.995585516
NumHDonors,3
PEOE_VSA10,9.958691010805985
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.722094864452088
SlogP_VSA2,30.35301066870899
SlogP_VSA3,14.817828337479405
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,56.94929490273704
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,15.992596441359433
EState_VSA2,21.398930892236336
EState_VSA3,15.667931904447368
EState_VSA4,23.098670827325854
EState_VSA5,12.13273413692322
EState_VSA6,35.711898112773966
EState_VSA7,0.0
EState_VSA8,4.722094864452088
EState_VSA9,5.106527394840706
SlogP_VSA10,5.687386274683562
SlogP_VSA11,5.749511833283905
SlogP_VSA12,23.098670827325854
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
