DLiP-ID,C000ZG
DLiP-Mol-ID,31605
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20ClN3OS/c20-18-14-12-16(19(24)21-8-5-11-23-9-3-4-10-23)25-17(14)13-6-1-2-7-15(13)22-18/h1-2,6-7,12H,3-5,8-11H2,(H,21,24)"
Standard Inchi Key(RDKit),DIFKFIKRWZMOHH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCCCN1CCCC1)c1cc2c(Cl)nc3ccccc3c2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),373.909
MW Monoisotopic(RDKit),373.10156094
MolLogP(RDKit),4.3186
XLogP(SDF),
XLogP(CDK),3.358
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),45.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.534802379521155
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1062303.394875783
qed,0.5348023795211547
Chi0,17.225403871315223
Chi1,12.220346690612278
TPSA,45.230000000000004
Chi0n,13.925387059190834
Chi0v,15.497812586137016
Chi1n,8.705505494723404
