DLiP-ID,P000IM
DLiP-Mol-ID,26337
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22F3N3O3S2/c1-2-28-12-17(13-4-3-5-14(10-13)22(23,24)25)19-16(21(28)29)11-18(32-19)20(26)27-15-6-8-33(30,31)9-7-15/h3-5,10-12,15H,2,6-9H2,1H3,(H2,26,27)"
Standard Inchi Key(RDKit),WRUWGLUCNBMGPS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(/C(N)=N/C3CCS(=O)(=O)CC3)cc2c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),497.564
MW Monoisotopic(RDKit),497.105468224
MolLogP(RDKit),4.0512
XLogP(SDF),
XLogP(CDK),4.912
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),94.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.434669841270707
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD9/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,20919949.736432526
qed,0.4346698412707072
Chi0,23.965890847321376
Chi1,15.481313592305106
TPSA,94.52000000000001
Chi0n,17.72389812179666
Chi0v,19.35689128365211
Chi1n,10.369512994283157
Chi1v,13.007376780256802
Chi2n,7.9632877449931385
Chi2v,11.319123262777982
Chi3n,5.692766459371573
Chi3v,8.59904102300504
Chi4n,3.8745829794879048
Chi4v,6.431760857766881
MolMR,124.59720000000004
MolWt,497.5640000000003
fr_SH,0
Kappa1,23.49657732280778
Kappa2,8.601859897565797
Kappa3,4.83627408849268
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1391.732536220562
MolLogP,4.051200000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8107121775582211
SMR_VSA1,21.589042127353398
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,10.726072209797854
SMR_VSA5,38.528276198046655
SMR_VSA6,11.505707213493578
SMR_VSA7,57.323081678443245
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,192.03753234477168
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,9.786941916707491
PEOE_VSA3,8.417796984328938
PEOE_VSA4,13.171245143024459
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,43.52793314262447
