DLiP-ID,T006X3
DLiP-Mol-ID,24695
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H29ClN2O4S/c1-3-32-25(30)18-27(2)17-20-6-4-5-7-22(20)33-23-10-8-19(16-21(23)26)9-11-24(29)28-12-14-31-15-13-28/h4-11,16H,3,12-15,17-18H2,1-2H3/b11-9+"
Standard Inchi Key(RDKit),WEHCGVXGVWPFOC-PKNBQFBNSA-N
Canonical SMILES(RDKit),CCOC(=O)CN(C)Cc1ccccc1Sc1ccc(/C=C/C(=O)N2CCOCC2)cc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),489.037
MW Monoisotopic(RDKit),488.153656088
MolLogP(RDKit),4.3581
XLogP(SDF),
XLogP(CDK),4.135
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),59.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.385922947888462
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,22939860.90133409
qed,0.3859229478884618
Chi0,23.631181265251033
Chi1,15.956728795830726
TPSA,59.08
Chi0n,18.959533007340927
Chi0v,20.531958534287106
Chi1n,10.901641129564265
Chi1v,12.096102183501216
Chi2n,7.647946926661365
Chi2v,9.138924009888797
Chi3n,5.034181773493499
Chi3v,6.653038123949949
Chi4n,3.3863917019098677
Chi4v,4.630828985116166
MolMR,131.417
MolWt,489.0370000000004
fr_SH,0
Kappa1,25.305740648909573
Kappa2,12.795490278951817
Kappa3,7.891708840376598
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,992.1222472816684
MolLogP,4.358100000000004
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6456565914982189
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,23.25946055663875
SMR_VSA6,46.502587093953665
SMR_VSA7,64.69012588320047
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,204.0334888787584
NHOHCount,0
PEOE_VSA1,14.373635638450576
PEOE_VSA2,14.48898409899412
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,47.62829311347007
PEOE_VSA7,49.37343347798051
PEOE_VSA8,35.501256275607155
PEOE_VSA9,31.388035613192656
RingCount,3
SMR_VSA10,41.31532996376087
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,488.153656088
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,68.17889157295797
SlogP_VSA3,25.607556681656316
SlogP_VSA4,0.0
SlogP_VSA5,18.050640183084614
SlogP_VSA6,58.3315565371007
SlogP_VSA7,5.022633313741326
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
